% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'among', 'pritzkers control', 'IN', 'NP NN', 'a share in a company or business'
'particular session', 'landmark florida', 'JJ NN', 'NN NP', 'quality of causing attention to be given to'
'soaring inflation', 'rates continued', 'VBG NN', 'NNS VBD', 'money paid for the use of money'
'pay bonds', 'issued deep', 'VBP NNS', 'VBN JJ', 'money paid for the use of money'
'concern finance', '40 gold', 'NN NN', 'AB NN', 'a share in a company or business'
'hike germany', 'rates 100', 'VB NP', 'NNS AB', 'money paid for the use of money'
'minority acquiring', 'jaguar plc', 'NN VBG', 'NP NP', 'a share in a company or business'
'equity sold', 'three south', 'NN VBD', 'AB NP', 'a share in a company or business'
'non-controlling held', 'companies since', 'JJ VBN', 'NNS IN', 'a share in a company or business'
'reduce away', 'payments', 'VB RB', 'NNS', 'money paid for the use of money'
'plan payment', 'accrue decide', 'NN NN', 'VB VBP', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'million 5X6', 'expenses', 'AB AB', 'NNS', 'money paid for the use of money'
'changes price', 'income 28', 'NNS NN', 'NN AB', 'money paid for the use of money'
'year 50', 'income', 'NN AB', 'NN', 'money paid for the use of money'
'changes price', 'income municipal', 'NNS NN', 'NN JJ', 'money paid for the use of money'
'defend lobbyists', '', 'VB NNS', '', 'advantage, advancement or favor'
'british boost', 'rates last', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'rising concerns', 'rates possible', 'VBG NNS', 'NNS JJ', 'money paid for the use of money'
'high current', 'rates put', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'jump Xs', 'rates', 'NN POS', 'NNS', 'money paid for the use of money'
'general support', 'airline sector', 'JJ NN', 'NN NN', 'readiness to give attention'
'increases Xs', 'rates europe', 'NNS POS', 'NNS NP', 'money paid for the use of money'
'plus changes', 'income', 'CC NNS', 'NN', 'money paid for the use of money'
'investor resurgence', 'foreign government', 'NN NN', 'JJ NN', 'readiness to give attention'
'raised week', 'rates', 'VBD NN', 'NNS', 'money paid for the use of money'
'foreign contends', 'rates probably', 'JJ VBZ', 'NNS RB', 'money paid for the use of money'
'lower soon', 'rates counter', 'VB RB', 'NNS VB', 'money paid for the use of money'
'falling expectations', 'rates sparked', 'VBG NNS', 'NNS VBN', 'money paid for the use of money'
'keeping economy', 'rates high', 'VBG NN', 'NNS JJ', 'money paid for the use of money'
'corporate burden', 'payments', 'JJ NN', 'NNS', 'money paid for the use of money'
'lows session', 'blue chips', 'NNS NN', 'JJ NNS', 'readiness to give attention'
'pay money', 'guise controversial', 'VB NN', 'NN JJ', 'money paid for the use of money'
'X shareholders', 'extremely dangerous', 'POS NNS', 'RB JJ', 'advantage, advancement or favor'
'investor believes', 'broaden second-tier', 'NN VBZ', 'VB JJ', 'readiness to give attention'
'attracted executive', 'two investment', 'VBN NP', 'AB NN', 'readiness to give attention'
'minority taking', 'company', 'NN VBG', 'NN', 'a share in a company or business'
'Xs ford', 'prelude hostile', 'POS NP', 'NN JJ', 'readiness to give attention'
'generated may', 'stock', 'VBN MD', 'NN', 'readiness to give attention'
'coordinated Xs', 'rate increases', 'VBN POS', 'NN NNS', 'money paid for the use of money'
'high Xs', 'rate policy', 'JJ POS', 'NN NN', 'money paid for the use of money'
'disillusioned traders', 'rate hike', 'VBN NNS', 'NN NN', 'money paid for the use of money'
'despite firm', 'rate increases', 'IN JJ', 'NN NNS', 'money paid for the use of money'
'', 'corporate sector', '', 'JJ NN', 'readiness to give attention'
'including bailout', 'expected roughly', 'VBG NN', 'VBN RB', 'money paid for the use of money'
'possible lowest', 'rate amount', 'JJ JJS', 'NN NN', 'money paid for the use of money'
'high', 'rates example', 'JJ', 'NNS NN', 'money paid for the use of money'
'additional reflects', 'expense related', 'JJ VBZ', 'NN VBN', 'money paid for the use of money'
'accrued plus', '', 'JJ CC', '', 'money paid for the use of money'
'uXsX continues', 'hurt', 'NP VBZ', 'VBN', 'advantage, advancement or favor'
'uXsX hurts', '', 'NP VBZ', '', 'advantage, advancement or favor'
'well hurt', '', 'RB VBP', '', 'advantage, advancement or favor'
'company holding', 'telecommunications gas', 'NN NN', 'NNS NN', 'a share in a company or business'
'annual loan', 'running prime', 'JJ NN', 'VBG JJ', 'money paid for the use of money'
'athletic Xs', 'iXeX boosters', 'JJ POS', 'FW NNS', 'advantage, advancement or favor'
'spread wider-than-normal', 'rates good', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'Xs city', 'income loans', 'POS NP', 'NN NNS', 'money paid for the use of money'
'improvement show', 'margin loan', 'NN VB', 'NN NN', 'money paid for the use of money'
'short-term kept', 'rates relatively', 'JJ VBD', 'NNS RB', 'money paid for the use of money'
'short-term prime', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'below-market partly', 'rates said', 'JJ RB', 'NNS VBD', 'money paid for the use of money'
'cash pay', 'obligations foreseeable', 'NN VB', 'NNS JJ', 'money paid for the use of money'
'whereas 1989', 'savings selling', 'IN AB', 'NNS VBG', 'money paid for the use of money'
'reduced million', 'expense', 'JJ AB', 'NN', 'money paid for the use of money'
'make failed', 'payments june', 'VB VBD', 'NNS NP', 'money paid for the use of money'
'recognized books', 'women minorities', 'VBD NNS', 'NNS NNS', 'activity, etc. that one gives attention to'
'Xs group', 'best served', 'POS NN', 'RB VBN', 'advantage, advancement or favor'
'controlling obtaining', 'company', 'NN VBG', 'NN', 'a share in a company or business'
'400,000 c$', 'payment c$', 'AB NN', 'NN NN', 'money paid for the use of money'
'sure make', 'business arrangement', 'JJ VB', 'NN NN', 'readiness to give attention'
'customer little', 'leave market', 'NN JJ', 'VB NN', 'readiness to give attention'
'still peabody', 'becoming market', 'RB NP', 'VBG NN', 'readiness to give attention'
'risky basket', 'public', 'JJ NN', 'NN', 'advantage, advancement or favor'
'voting %', 'uXsX airlines', 'NN NN', 'NP NNS', 'a share in a company or business'
'hold help', 'rates', 'VB VBP', 'NNS', 'money paid for the use of money'
'strategic security', 'uXsX trade', 'JJ NN', 'NP NP', 'advantage, advancement or favor'
'stepping dutch', 'uXsX airlines', 'VBG NPS', 'NP NNS', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'public violate', '', 'JJ VBP', '', 'advantage, advancement or favor'
'', '1 point', '', 'AB NN', 'money paid for the use of money'
'', 'rates generally', '', 'NNS RB', 'money paid for the use of money'
'', 'rates continue', '', 'NNS VB', 'money paid for the use of money'
'special taken', 'one issue', 'JJ VBN', 'AB NN', 'readiness to give attention'
'personal combines', 'sense political', 'JJ VBZ', 'NN JJ', 'readiness to give attention'
'always dyslexia', 'education', 'RB NN', 'NN', 'readiness to give attention'
'reduce pressure', 'rates bring', 'VB NN', 'NNS VB', 'money paid for the use of money'
'lower bank', 'rates coming', 'JJR NN', 'NNS VBG', 'money paid for the use of money'
'sets fed', 'rate policy', 'VBZ NP', 'NN NN', 'money paid for the use of money'
'lower', 'rates reduce', 'JJR', 'NNS VBP', 'money paid for the use of money'
'raising dollar', 'rates last', 'VBG NN', 'NNS JJ', 'money paid for the use of money'
'lowering advocate', 'rates help', 'VBG NN', 'NNS VB', 'money paid for the use of money'
'lower toward', 'rates economic', 'JJR IN', 'NNS JJ', 'money paid for the use of money'
'expressed individuals', 'purchasing principal', 'VBN NNS', 'VBG JJ', 'readiness to give attention'
'drop one-percentage-point', 'rates -', 'NN JJ', 'NNS ?', 'money paid for the use of money'
'best fees', 'clients', 'JJS NNS', 'NNS', 'advantage, advancement or favor'
'cut reserve', 'rates coming', 'VB NP', 'NNS VBG', 'money paid for the use of money'
'long-term think', 'rates nXt', 'JJ VBP', 'NNS RB', 'money paid for the use of money'
'drive fed', 'rate federal', 'VB NP', 'NN JJ', 'money paid for the use of money'
'odds increases', 'rates move', 'NNS VBZ', 'NNS VB', 'money paid for the use of money'
'', 'rates tumbled', '', 'NNS VBD', 'money paid for the use of money'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'drum country', 'shares', 'VB NN', 'NNS', 'readiness to give attention'
'european rise', 'rates last', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'real high', 'rates leave', 'JJ JJ', 'NNS VBP', 'money paid for the use of money'
'usual warehouses', '', 'JJ NNS', '', 'readiness to give attention'
'', 'stocks nXt', '', 'NNS RB', 'readiness to give attention'
'looking instead', 'rates inflation', 'VBG RB', 'NNS NN', 'money paid for the use of money'
'lower prospects', 'rates helped', 'JJR NNS', 'NNS VBD', 'money paid for the use of money'
'lower step', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'may shares', 'buying company', 'MD NNS', 'VBG NN', 'readiness to give attention'
'cut pressure', 'rates though', 'VB NN', 'NNS IN', 'money paid for the use of money'
'pay borrowing', 'dividends', 'VB VBG', 'NNS', 'money paid for the use of money'
'annual along', '$ 120', 'JJ IN', 'NN AB', 'money paid for the use of money'
'loses partnership', '', 'VBZ NN', '', 'readiness to give attention'
'higher fear', 'rates prompted', 'JJR NN', 'NNS VBD', 'money paid for the use of money'
'buying surge', 'jaguar saatchi', 'VBG NN', 'NP NP', 'readiness to give attention'
'rise said', 'rates though', 'NN VBD', 'NNS IN', 'money paid for the use of money'
'high going', 'rate medicine', 'JJ VBG', 'NN NN', 'money paid for the use of money'
'beneficial %', 'french luxury', 'JJ NN', 'JJ NN', 'a share in a company or business'
'uXsX reduction', 'rates', 'NP NN', 'NNS', 'money paid for the use of money'
'rising eroded', 'rates', 'VBG VBN', 'NNS', 'money paid for the use of money'
'plus change', 'income -', 'CC NN', 'NN ?', 'money paid for the use of money'
'', 'payments included', '', 'NNS VBN', 'money paid for the use of money'
'rising', 'rates meanwhile', 'VBG', 'NNS RB', 'money paid for the use of money'
'fall funds', 'rates rise', 'VBP NNS', 'NNS VB', 'money paid for the use of money'
'pay nXt', 'mature', 'VB RB', 'VBP', 'money paid for the use of money'
'', 'rates rising', '', 'NNS VBG', 'money paid for the use of money'
'lower accompanied', 'rates', 'JJR VBN', 'NNS', 'money paid for the use of money'
'course backfire', 'rates rise', 'NN VB', 'NNS VBP', 'money paid for the use of money'
'national function', 'case war', 'JJ VB', 'NN NN', 'advantage, advancement or favor'
'high levels', 'rates durable-goods', 'JJ NNS', 'NNS NNS', 'money paid for the use of money'
'strong attributed', 'women Xs', 'JJ VBD', 'NNS POS', 'readiness to give attention'
'non-steel', 'currently contribute', 'JJ', 'RB VBP', 'a share in a company or business'
'high Xs', 'rates', 'JJ POS', 'NNS', 'money paid for the use of money'
'', 'acquiring bX', '', 'VBG NP', 'readiness to give attention'
'majority Xs', 'specialty chain', 'NN POS', 'NN NN', 'a share in a company or business'
'majority sold', 'parisian incX', 'NN VBN', 'NP NP', 'a share in a company or business'
'make failed', 'payments june', 'VB VBN', 'NNS NP', 'money paid for the use of money'
'average million', 'rate 9X3', 'JJ AB', 'NN AB', 'money paid for the use of money'
'% 10', 'production-sharing contract', 'NN AB', 'NN NN', 'a share in a company or business'
'lowered sale', 'contract 24X3', 'VBD NN', 'NN AB', 'a share in a company or business'
'Xs repsol', '12X45 %', 'POS NP', 'AB NN', 'a share in a company or business'
'sizable retain', 'northwest java', 'JJ VB', 'NP NP', 'a share in a company or business'
'public case', 'herbal medicine', 'JJ NN', 'JJ NN', 'readiness to give attention'
'best X', 'priority actively', 'JJS POS', 'NN RB', 'advantage, advancement or favor'
'higher cited', 'rates junk', 'JJR VBD', 'NNS NN', 'money paid for the use of money'
'sent bonds', 'rates issues', 'VBN NNS', 'NNS NNS', 'money paid for the use of money'
'corporate higher', 'payments moderating', 'JJ JJR', 'NNS VBG', 'money paid for the use of money'
'short-term ease', 'rates soon', 'JJ VB', 'NNS RB', 'money paid for the use of money'
'pushing announced', 'rates full', 'VBG VBD', 'NNS JJ', 'money paid for the use of money'
'withhold influence', 'payments state', 'VB NN', 'NNS NN', 'money paid for the use of money'
'protected maintaining', '', 'JJ VBG', '', 'advantage, advancement or favor'
'expects said', 'rates drop', 'VBZ VBD', 'NNS VB', 'money paid for the use of money'
'drop activity', 'rates', 'NN NN', 'NNS', 'money paid for the use of money'
'', 'bonds due', '', 'NNS JJ', 'money paid for the use of money'
'minority sizable', 'telemunchen west', 'NN JJ', 'NP JJ', 'a share in a company or business'
'', 'uniformity large', '', 'NN JJ', 'advantage, advancement or favor'
'high market', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'deep developed', 'eastern europe', 'JJ VBD', 'NP NP', 'readiness to give attention'
'long despite', 'soviet union', 'JJ IN', 'NP NP', 'readiness to give attention'
'debt cuts', 'payments', 'NN NNS', 'NNS', 'money paid for the use of money'
'debt cutting', 'payments providing', 'NN VBG', 'NNS VBG', 'money paid for the use of money'
'expressed nXt', 'moving prime', 'VBN RB', 'VBG JJ', 'readiness to give attention'
'debt remainder', '', 'NN NN', '', 'money paid for the use of money'
'parochial laced', '', 'JJ VBN', '', 'advantage, advancement or favor'
'accrued plus', 'purchase date', 'VBN CC', 'NN NN', 'money paid for the use of money'
'annual cash', 'bill $', 'JJ NN', 'NN NN', 'money paid for the use of money'
'include nXt', '$ 600', 'VB RB', 'NN AB', 'money paid for the use of money'
'cash paying', 'several years', 'NN VBG', 'JJ NNS', 'money paid for the use of money'
'meeting problem', 'principal payments', 'VBG NN', 'JJ NNS', 'money paid for the use of money'
'expressed Xs', 'mrX janson', 'VBN VBZ', 'NP NP', 'readiness to give attention'
'Xs trump', 'amr rumored', 'POS NP', 'NP VBN', 'readiness to give attention'
'round effects', 'rate increases', 'NN NNS', 'NN NNS', 'money paid for the use of money'
'', 'takeover stocks', '', 'NN NNS', 'readiness to give attention'
'takeover denied', 'saying merely', 'NN VBN', 'VBG RB', 'readiness to give attention'
'foreign rise', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'rise signaled', 'rates causing', 'NN VBD', 'NNS VBG', 'money paid for the use of money'
'', 'rates said', '', 'NNS VBD', 'money paid for the use of money'
'investor broad', 'quickly snapped', 'NN JJ', 'RB VBN', 'readiness to give attention'
'raised bundesbank', 'rates', 'VBD NP', 'NNS', 'money paid for the use of money'
'sharply fall', 'rate hikes', 'RB VB', 'NN NNS', 'money paid for the use of money'
'open', 'figures released', 'JJ', 'NNS VBN', 'a share in a company or business'
'open', 'number contracts', 'JJ', 'NN NNS', 'a share in a company or business'
'equity acquire', 'geographic systems', 'NN VB', 'NP NP', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'despite strengthened', 'rate increases', 'IN VBD', 'NN NNS', 'money paid for the use of money'
'raise bundesbank', 'rates full', 'VB NP', 'NNS JJ', 'money paid for the use of money'
'market let', 'rates edge', 'NN VB', 'NNS VB', 'money paid for the use of money'
'uXsX high', 'rates compared', 'NP JJ', 'NNS VBN', 'money paid for the use of money'
'% 60', 'cit group', 'NN AB', 'NP NP', 'a share in a company or business'
'fees Xs', 'costs', 'NNS POS', 'NNS', 'money paid for the use of money'
'share community', 'stability avoiding', 'VBP NN', 'NN VBG', 'readiness to give attention'
'tokyo', 'rate worries', 'NP', 'NN NNS', 'money paid for the use of money'
'high harmed', 'rates', 'JJ VBN', 'NNS', 'money paid for the use of money'
'higher making', 'rates nXt', 'JJR VBG', 'NNS RB', 'money paid for the use of money'
'german west', 'rate increase', 'JJ JJ', 'NN NN', 'money paid for the use of money'
'buying attracted', 'local news', 'NN VBD', 'JJ NN', 'readiness to give attention'
'minority payments', '1X37 billion', 'NN NNS', 'AB AB', 'a share in a company or business'
'pressure', 'rates stiff', 'NN', 'NNS JJ', 'money paid for the use of money'
'minority taxes', 'special items', 'NN NNS', 'JJ NNS', 'a share in a company or business'
'official raised', 'rates full', 'JJ VBD', 'NNS JJ', 'money paid for the use of money'
'benchmark Xs', 'rates highest', 'JJ POS', 'NNS JJS', 'money paid for the use of money'
'Xs columbia', 'burbank studio', 'POS NP', 'NP NN', 'a share in a company or business'
'million 50', 'films batman', 'AB AB', 'NNS NP', 'a share in a company or business'
'million 200', 'depreciation taxes', 'AB AB', 'NN NNS', 'money paid for the use of money'
'profits', 'taxes depcreciation', 'NNS', 'NNS NN', 'money paid for the use of money'
'certain deductibility', 'payments original-issue', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'accrued plus', '$ 20', 'JJ CC', 'NN AB', 'money paid for the use of money'
'public industry', '', 'JJ NN', '', 'advantage, advancement or favor'
'public blow', '', 'JJ NN', '', 'advantage, advancement or favor'
'earnings times', 'taxes depreciation', 'NNS NNS', 'NNS NN', 'money paid for the use of money'
'nXt vilification', 'shareholders noting', 'RB NN', 'NNS VBG', 'advantage, advancement or favor'
'public industry', '', 'JJ NN', '', 'advantage, advancement or favor'
'defaulted company', 'payments sept', 'VBD NN', 'NNS NP', 'money paid for the use of money'
'british increase', 'rates -', 'JJ NN', 'NNS ?', 'money paid for the use of money'
'key boost', 'rates', 'JJ VB', 'NNS', 'money paid for the use of money'
'left got', 'rates said', 'JJ VBN', 'NNS VBD', 'money paid for the use of money'
'raising problem', 'rates consumers', 'VBG NN', 'NNS NNS', 'money paid for the use of money'
'ratcheting continuous', 'rates produce', 'VBG JJ', 'NNS VB', 'money paid for the use of money'
'emotional substantial', 'stake', 'JJ JJ', 'NN', 'readiness to give attention'
'', 'rates credit', '', 'NNS NN', 'money paid for the use of money'
'principal payments', 'required gold', 'NN NNS', 'VBN JJ', 'money paid for the use of money'
'principal pay', 'gold', 'NN VB', 'NN', 'money paid for the use of money'
'possible lowest', 'rate', 'JJ JJS', 'NN', 'money paid for the use of money'
'governmental lowest', 'rate earth', 'JJ JJS', 'NN NN', 'money paid for the use of money'
'bonds gold-backed', 'bonds expected', 'NNS JJ', 'NNS VBN', 'money paid for the use of money'
'', 'rate soviet', '', 'NN JJ', 'money paid for the use of money'
'expected %', 'rate initially', 'VBN NN', 'NN RB', 'money paid for the use of money'
'higher proportionally', 'rates stabilize', 'JJR RB', 'NNS VB', 'money paid for the use of money'
'expected longer', 'payment coming', 'VBN RBR', 'NN VBG', 'money paid for the use of money'
'lower paid', 'rate order', 'JJR VBN', 'NN NN', 'money paid for the use of money'
'bonus insurance', 'rates good', 'NN NN', 'NNS JJ', 'money paid for the use of money'
'express people', 'certificates receive', 'VBP NNS', 'NNS VBP', 'readiness to give attention'
'big obviously', 'protecting reputation', 'JJ RB', 'VBG NN', 'advantage, advancement or favor'
'first-year eye-catching', 'rate 12', 'JJ JJ', 'NN AB', 'money paid for the use of money'
'offer', 'rates fixed', 'VBP', 'NNS VBN', 'money paid for the use of money'
'Xs committee', '', 'POS NN', '', 'activity, etc. that one gives attention to'
'high seeking', 'rates contributed', 'JJ VBG', 'NNS VBD', 'money paid for the use of money'
'pay securities', 'periodically', 'VB NNS', 'RB', 'money paid for the use of money'
'current series', 'bonds due', 'JJ NP', 'NNS JJ', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'make homeowners', 'shortfalls cash', 'VB NNS', 'NNS NN', 'money paid for the use of money'
'great express', 'knowing redwoods', 'JJ VBP', 'VBG NNS', 'readiness to give attention'
'uXkX fears', 'rates soon', 'NP NNS', 'NNS RB', 'money paid for the use of money'
'prospective said', 'rate increase', 'JJ VBD', 'NN NN', 'money paid for the use of money'
'investor', 'yesterday centered', 'NN', 'NN VBD', 'readiness to give attention'
'investor', 'blossomed early', 'NN', 'VBD JJ', 'readiness to give attention'
'german west', 'rates put', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'brewing buying', 'leisure food', 'NN VBG', 'NN NN', 'a share in a company or business'
'return total', 'income', 'NN JJ', 'NN', 'money paid for the use of money'
'rising', 'rates also', 'VBG', 'NNS RB', 'money paid for the use of money'
'pay nXt', 'mature thus', 'VB RB', 'VBP RB', 'money paid for the use of money'
'rising months', 'rates', 'VBG NNS', 'NNS', 'money paid for the use of money'
'signs inflationary', 'rates remain', 'NNS JJ', 'NNS VB', 'money paid for the use of money'
'short-term push', 'rates higher', 'JJ VB', 'NNS RBR', 'money paid for the use of money'
'personal pursue', '', 'JJ VB', '', 'activity, etc. that one gives attention to'
'meet sales', 'payments valued', 'VB NNS', 'NNS VBN', 'money paid for the use of money'
'hefty incurred', 'expense debt', 'JJ VBN', 'NN NN', 'money paid for the use of money'
'academic moves', '', 'JJ VBZ', '', 'readiness to give attention'
'security maintaining', 'property participating', 'NN VBG', 'NN VBG', 'a share in a company or business'
'draw studies', 'colleges fall', 'VBP NNS', 'NNS NN', 'readiness to give attention'
'sheer japanese', 'says pace', 'JJ NP', 'VBZ NP', 'readiness to give attention'
'german increase', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'short-term said', 'rates picked', 'JJ VBD', 'NNS VBN', 'money paid for the use of money'
'think managers', 'rates headed', 'VBP NNS', 'NNS VBN', 'money paid for the use of money'
'assumes yield', 'rate remains', 'VBZ NN', 'NN VBZ', 'money paid for the use of money'
'% 3', '', 'NN AB', '', 'money paid for the use of money'
'personal professional', '', 'JJ JJ', '', 'activity, etc. that one gives attention to'
'buy agreed', 'pay-per-view network', 'VB VBD', 'NP NP', 'a share in a company or business'
're-evaluate resigned', 'goals explore', 'JJ VBD', 'NNS VB', 'activity, etc. that one gives attention to'
'changes sensitive', 'rates biggest', 'NNS JJ', 'NNS JJS', 'money paid for the use of money'
'high brought', 'rates rising', 'JJ VBD', 'NNS VBG', 'money paid for the use of money'
'stirred tuesday', 'among bottom-fishers', 'VBD NP', 'IN NNS', 'readiness to give attention'
'exchange client', 'reconstructed restaurant', 'NN NN', 'JJ NN', 'a share in a company or business'
'important funds', '', 'JJ NNS', '', 'advantage, advancement or favor'
'perth newspaper', 'bell resources', 'NP NN', 'NP NP', 'a share in a company or business'
'unpaid accrued', 'together 1989', 'JJ JJ', 'RB AB', 'money paid for the use of money'
'make failed', 'payments nearly', 'VB VBD', 'NNS RB', 'money paid for the use of money'
'foreign economy', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'general midwest', 'keeping american', 'JJ NP', 'VBG JJ', 'readiness to give attention'
'allow policy', 'rates somewhat', 'VB NN', 'NNS RB', 'money paid for the use of money'
'increase possible', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'stirring issue', 'among safety', 'VBG NN', 'IN NN', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'high said', 'rates recent', 'JJ VBD', 'NNS JJ', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'accrued plus', 'novX 15', 'JJ CC', 'NP AB', 'money paid for the use of money'
'revival way', 'theology religious', 'NN NN', 'NN JJ', 'readiness to give attention'
'difference vast', 'gleefully remarked', 'NN JJ', 'RB VBD', 'readiness to give attention'
'unsecured vaX', 'rates prime', 'JJ NP', 'NNS JJ', 'money paid for the use of money'
'reduced government', 'rate', 'JJ NN', 'NN', 'money paid for the use of money'
'congressional exploit', 'bolar', 'JJ VB', 'NP', 'readiness to give attention'
'study find', 'warner-lambert official', 'NN VB', 'NP NN', 'quality of causing attention to be given to'
'increasing counting', 'americans things', 'VBG VBG', 'NPS NNS', 'readiness to give attention'
'expressed nepalese', 'obtaining weapons', 'VBN NPS', 'VBG NNS', 'readiness to give attention'
'controlling acquire', 'management clyde', 'JJ VB', 'NN NP', 'a share in a company or business'
'short-term cut', 'rates turn', 'JJ VB', 'NNS NN', 'money paid for the use of money'
'cut able', 'rates fast', 'VB JJ', 'NNS RB', 'money paid for the use of money'
'key raise', 'rates least', 'JJ VB', 'NNS JJS', 'money paid for the use of money'
'higher', 'rates abroad', 'JJR', 'NNS RB', 'money paid for the use of money'
'best offering', 'mrX wisner', 'JJS NN', 'NP NP', 'advantage, advancement or favor'
'reported extent', 'earned foreign-exchange', 'VBN NN', 'VBN NN', 'money paid for the use of money'
'pushing policy', 'rates march', 'VBG NN', 'NNS NP', 'money paid for the use of money'
'influenced closely', 'rates purchases', 'VBN RB', 'NNS NNS', 'money paid for the use of money'
'Xs ford', 'european luxury-car', 'POS NP', 'JJ NN', 'readiness to give attention'
'expressed companies', 'buying significant', 'VBN NNS', 'VBG JJ', 'readiness to give attention'
'keep shortages', 'pumped nintendo', 'VBP NNS', 'VBD NP', 'readiness to give attention'
'average', 'rate inched', 'JJ', 'NN VBD', 'money paid for the use of money'
'especially companies', 'declining property', 'RB NNS', 'VBG NN', 'a share in a company or business'
'franchise york', '$ 1X9', 'NN NP', 'NN AB', 'a share in a company or business'
'large tennessee', 'biggest market', 'JJ NP', 'JJS NN', 'a share in a company or business'
'Xs metromedia', 'analysts expect', 'POS NP', 'NNS VBP', 'a share in a company or business'
'voting %', '45X67 %', 'NN NN', 'AB NN', 'a share in a company or business'
'equity %', 'new york', 'NN NN', 'NP NP', 'a share in a company or business'
'voting %', '45 %', 'NN NN', 'AB NN', 'a share in a company or business'
'equity %', 'franchise', 'NN NN', 'NN', 'a share in a company or business'
'expressed franchise', 'attaining remainder', 'VBN NN', 'VBG NN', 'readiness to give attention'
'york new', '', 'NP NP', '', 'a share in a company or business'
'Xs metromedia', 'bellsouth object', 'POS NP', 'NP VB', 'a share in a company or business'
'Xs metromedia', 'ironic thing', 'POS NP', 'JJ NN', 'a share in a company or business'
'addition', 'las vegas', 'NN', 'NP NP', 'a share in a company or business'
'hold individuals', 'partnerships everything', 'VBP NNS', 'NNS NN', 'a share in a company or business'
'payers numbers', 'dividends', 'NNS NNS', 'NNS', 'money paid for the use of money'
'private X', 'exempt funds', 'JJ POS', 'JJ NNS', 'activity, etc. that one gives attention to'
'equity million', 'australian operations', 'NN AB', 'JJ NNS', 'a share in a company or business'
'uXkX possible', 'rate increase', 'NP JJ', 'NN NN', 'money paid for the use of money'
'investor attracted', 'strong earning', 'NN VBD', 'JJ NN', 'readiness to give attention'
'uXkX higher', 'rates still', 'NP JJR', 'NNS RB', 'money paid for the use of money'
'effect worry', 'rates federal', 'NN VBP', 'NNS NP', 'money paid for the use of money'
'investor considerable', '', 'NN JJ', '', 'readiness to give attention'
'indicated group', 'investors', 'VBN NN', 'NNS', 'readiness to give attention'
'february deferred', 'charge promotion', 'NP VBN', 'NN NN', 'money paid for the use of money'
'pursue company', '', 'VB NN', '', 'activity, etc. that one gives attention to'
'anticipation mark', 'rate increase', 'NN NN', 'NN NN', 'money paid for the use of money'
'pursue resigned', '', 'VB VBD', '', 'activity, etc. that one gives attention to'
'% 11X4', 'company anticipation', 'NN AB', 'NN NN', 'a share in a company or business'
'', 'financial group', '', 'JJ NN', 'readiness to give attention'
'optimism buying', 'rates may', 'NN NN', 'NNS MD', 'money paid for the use of money'
'retail glimmers', 'since got', 'JJ NNS', 'IN VBD', 'readiness to give attention'
'lowering consider', 'rates new', 'VBG VB', 'NNS JJ', 'money paid for the use of money'
'lower speculation', 'rates', 'JJR NN', 'NNS', 'money paid for the use of money'
'lower outlook', 'rates according', 'JJR NN', 'NNS VBG', 'money paid for the use of money'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'net winning', 'cost $', 'JJ VBG', 'NN NN', 'money paid for the use of money'
'petroleum occidental', 'oil gas', 'NP NP', 'NN NN', 'a share in a company or business'
'lower costs', 'cost resulting', 'JJR NNS', 'NN VBG', 'money paid for the use of money'
'indications nominations', 'specific areas', 'NNS NNS', 'NN NNS', 'readiness to give attention'
