% File: interest_2-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'bonds pay', 'issued deep', 'NNS VBP', 'VBN JJ', 'money paid for the use of money'
'finance concern', '40 gold', 'NN NN', 'AB NN', 'a share in a company or business'
'germany hike', 'rates 100', 'NP VB', 'NNS AB', 'money paid for the use of money'
'acquiring minority', 'jaguar plc', 'VBG NN', 'NP NP', 'a share in a company or business'
'sold equity', 'three south', 'VBD NN', 'AB NP', 'a share in a company or business'
'held non-controlling', 'companies since', 'VBN JJ', 'NNS IN', 'a share in a company or business'
'away reduce', 'payments', 'RB VB', 'NNS', 'money paid for the use of money'
'payment plan', 'accrue decide', 'NN NN', 'VB VBP', 'money paid for the use of money'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'5X6 million', 'expenses', 'AB AB', 'NNS', 'money paid for the use of money'
'price changes', 'income 28', 'NN NNS', 'NN AB', 'money paid for the use of money'
'50 year', 'income', 'AB NN', 'NN', 'money paid for the use of money'
'price changes', 'income municipal', 'NN NNS', 'NN JJ', 'money paid for the use of money'
'lobbyists defend', '', 'NNS VB', '', 'advantage, advancement or favor'
'boost british', 'rates last', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'concerns rising', 'rates possible', 'NNS VBG', 'NNS JJ', 'money paid for the use of money'
'current high', 'rates put', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'Xs jump', 'rates', 'POS NN', 'NNS', 'money paid for the use of money'
'support general', 'airline sector', 'NN JJ', 'NN NN', 'readiness to give attention'
'Xs increases', 'rates europe', 'POS NNS', 'NNS NP', 'money paid for the use of money'
'changes plus', 'income', 'NNS CC', 'NN', 'money paid for the use of money'
'resurgence investor', 'foreign government', 'NN NN', 'JJ NN', 'readiness to give attention'
'week raised', 'rates', 'NN VBD', 'NNS', 'money paid for the use of money'
'contends foreign', 'rates probably', 'VBZ JJ', 'NNS RB', 'money paid for the use of money'
'soon lower', 'rates counter', 'RB VB', 'NNS VB', 'money paid for the use of money'
'expectations falling', 'rates sparked', 'NNS VBG', 'NNS VBN', 'money paid for the use of money'
'economy keeping', 'rates high', 'NN VBG', 'NNS JJ', 'money paid for the use of money'
'burden corporate', 'payments', 'NN JJ', 'NNS', 'money paid for the use of money'
'session lows', 'blue chips', 'NN NNS', 'JJ NNS', 'readiness to give attention'
'money pay', 'guise controversial', 'NN VB', 'NN JJ', 'money paid for the use of money'
'shareholders X', 'extremely dangerous', 'NNS POS', 'RB JJ', 'advantage, advancement or favor'
'believes investor', 'broaden second-tier', 'VBZ NN', 'VB JJ', 'readiness to give attention'
'executive attracted', 'two investment', 'NP VBN', 'AB NN', 'readiness to give attention'
'taking minority', 'company', 'VBG NN', 'NN', 'a share in a company or business'
'ford Xs', 'prelude hostile', 'NP POS', 'NN JJ', 'readiness to give attention'
'may generated', 'stock', 'MD VBN', 'NN', 'readiness to give attention'
'Xs coordinated', 'rate increases', 'POS VBN', 'NN NNS', 'money paid for the use of money'
'Xs high', 'rate policy', 'POS JJ', 'NN NN', 'money paid for the use of money'
'traders disillusioned', 'rate hike', 'NNS VBN', 'NN NN', 'money paid for the use of money'
'firm despite', 'rate increases', 'JJ IN', 'NN NNS', 'money paid for the use of money'
'', 'corporate sector', '', 'JJ NN', 'readiness to give attention'
'bailout including', 'expected roughly', 'NN VBG', 'VBN RB', 'money paid for the use of money'
'lowest possible', 'rate amount', 'JJS JJ', 'NN NN', 'money paid for the use of money'
'high', 'rates example', 'JJ', 'NNS NN', 'money paid for the use of money'
'reflects additional', 'expense related', 'VBZ JJ', 'NN VBN', 'money paid for the use of money'
'plus accrued', '', 'CC JJ', '', 'money paid for the use of money'
'continues uXsX', 'hurt', 'VBZ NP', 'VBN', 'advantage, advancement or favor'
'hurts uXsX', '', 'VBZ NP', '', 'advantage, advancement or favor'
'hurt well', '', 'VBP RB', '', 'advantage, advancement or favor'
'holding company', 'telecommunications gas', 'NN NN', 'NNS NN', 'a share in a company or business'
'loan annual', 'running prime', 'NN JJ', 'VBG JJ', 'money paid for the use of money'
'Xs athletic', 'iXeX boosters', 'POS JJ', 'FW NNS', 'advantage, advancement or favor'
'wider-than-normal spread', 'rates good', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'city Xs', 'income loans', 'NP POS', 'NN NNS', 'money paid for the use of money'
'show improvement', 'margin loan', 'VB NN', 'NN NN', 'money paid for the use of money'
'kept short-term', 'rates relatively', 'VBD JJ', 'NNS RB', 'money paid for the use of money'
'prime short-term', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'partly below-market', 'rates said', 'RB JJ', 'NNS VBD', 'money paid for the use of money'
'pay cash', 'obligations foreseeable', 'VB NN', 'NNS JJ', 'money paid for the use of money'
'1989 whereas', 'savings selling', 'AB IN', 'NNS VBG', 'money paid for the use of money'
'million reduced', 'expense', 'AB JJ', 'NN', 'money paid for the use of money'
'failed make', 'payments june', 'VBD VB', 'NNS NP', 'money paid for the use of money'
'books recognized', 'women minorities', 'NNS VBD', 'NNS NNS', 'activity, etc. that one gives attention to'
'group Xs', 'best served', 'NN POS', 'RB VBN', 'advantage, advancement or favor'
'obtaining controlling', 'company', 'VBG NN', 'NN', 'a share in a company or business'
'c$ 400,000', 'payment c$', 'NN AB', 'NN NN', 'money paid for the use of money'
'make sure', 'business arrangement', 'VB JJ', 'NN NN', 'readiness to give attention'
'little customer', 'leave market', 'JJ NN', 'VB NN', 'readiness to give attention'
'peabody still', 'becoming market', 'NP RB', 'VBG NN', 'readiness to give attention'
'basket risky', 'public', 'NN JJ', 'NN', 'advantage, advancement or favor'
'% voting', 'uXsX airlines', 'NN NN', 'NP NNS', 'a share in a company or business'
'help hold', 'rates', 'VBP VB', 'NNS', 'money paid for the use of money'
'security strategic', 'uXsX trade', 'NN JJ', 'NP NP', 'advantage, advancement or favor'
'dutch stepping', 'uXsX airlines', 'NPS VBG', 'NP NNS', 'a share in a company or business'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'violate public', '', 'VBP JJ', '', 'advantage, advancement or favor'
'', '1 point', '', 'AB NN', 'money paid for the use of money'
'', 'rates generally', '', 'NNS RB', 'money paid for the use of money'
'', 'rates continue', '', 'NNS VB', 'money paid for the use of money'
'taken special', 'one issue', 'VBN JJ', 'AB NN', 'readiness to give attention'
'combines personal', 'sense political', 'VBZ JJ', 'NN JJ', 'readiness to give attention'
'dyslexia always', 'education', 'NN RB', 'NN', 'readiness to give attention'
'pressure reduce', 'rates bring', 'NN VB', 'NNS VB', 'money paid for the use of money'
'bank lower', 'rates coming', 'NN JJR', 'NNS VBG', 'money paid for the use of money'
'fed sets', 'rate policy', 'NP VBZ', 'NN NN', 'money paid for the use of money'
'lower', 'rates reduce', 'JJR', 'NNS VBP', 'money paid for the use of money'
'dollar raising', 'rates last', 'NN VBG', 'NNS JJ', 'money paid for the use of money'
'advocate lowering', 'rates help', 'NN VBG', 'NNS VB', 'money paid for the use of money'
'toward lower', 'rates economic', 'IN JJR', 'NNS JJ', 'money paid for the use of money'
'individuals expressed', 'purchasing principal', 'NNS VBN', 'VBG JJ', 'readiness to give attention'
'one-percentage-point drop', 'rates -', 'JJ NN', 'NNS ?', 'money paid for the use of money'
'fees best', 'clients', 'NNS JJS', 'NNS', 'advantage, advancement or favor'
'reserve cut', 'rates coming', 'NP VB', 'NNS VBG', 'money paid for the use of money'
'think long-term', 'rates nXt', 'VBP JJ', 'NNS RB', 'money paid for the use of money'
'fed drive', 'rate federal', 'NP VB', 'NN JJ', 'money paid for the use of money'
'increases odds', 'rates move', 'VBZ NNS', 'NNS VB', 'money paid for the use of money'
'', 'rates tumbled', '', 'NNS VBD', 'money paid for the use of money'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'country drum', 'shares', 'NN VB', 'NNS', 'readiness to give attention'
'rise european', 'rates last', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'high real', 'rates leave', 'JJ JJ', 'NNS VBP', 'money paid for the use of money'
'warehouses usual', '', 'NNS JJ', '', 'readiness to give attention'
'', 'stocks nXt', '', 'NNS RB', 'readiness to give attention'
'instead looking', 'rates inflation', 'RB VBG', 'NNS NN', 'money paid for the use of money'
'prospects lower', 'rates helped', 'NNS JJR', 'NNS VBD', 'money paid for the use of money'
'step lower', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'shares may', 'buying company', 'NNS MD', 'VBG NN', 'readiness to give attention'
'pressure cut', 'rates though', 'NN VB', 'NNS IN', 'money paid for the use of money'
'borrowing pay', 'dividends', 'VBG VB', 'NNS', 'money paid for the use of money'
'along annual', '$ 120', 'IN JJ', 'NN AB', 'money paid for the use of money'
'partnership loses', '', 'NN VBZ', '', 'readiness to give attention'
'fear higher', 'rates prompted', 'NN JJR', 'NNS VBD', 'money paid for the use of money'
'surge buying', 'jaguar saatchi', 'NN VBG', 'NP NP', 'readiness to give attention'
'said rise', 'rates though', 'VBD NN', 'NNS IN', 'money paid for the use of money'
'going high', 'rate medicine', 'VBG JJ', 'NN NN', 'money paid for the use of money'
'% beneficial', 'french luxury', 'NN JJ', 'JJ NN', 'a share in a company or business'
'reduction uXsX', 'rates', 'NN NP', 'NNS', 'money paid for the use of money'
'eroded rising', 'rates', 'VBN VBG', 'NNS', 'money paid for the use of money'
'change plus', 'income -', 'NN CC', 'NN ?', 'money paid for the use of money'
'', 'payments included', '', 'NNS VBN', 'money paid for the use of money'
'rising', 'rates meanwhile', 'VBG', 'NNS RB', 'money paid for the use of money'
'funds fall', 'rates rise', 'NNS VBP', 'NNS VB', 'money paid for the use of money'
'nXt pay', 'mature', 'RB VB', 'VBP', 'money paid for the use of money'
'', 'rates rising', '', 'NNS VBG', 'money paid for the use of money'
'accompanied lower', 'rates', 'VBN JJR', 'NNS', 'money paid for the use of money'
'backfire course', 'rates rise', 'VB NN', 'NNS VBP', 'money paid for the use of money'
'function national', 'case war', 'VB JJ', 'NN NN', 'advantage, advancement or favor'
'levels high', 'rates durable-goods', 'NNS JJ', 'NNS NNS', 'money paid for the use of money'
'attributed strong', 'women Xs', 'VBD JJ', 'NNS POS', 'readiness to give attention'
'non-steel', 'currently contribute', 'JJ', 'RB VBP', 'a share in a company or business'
'Xs high', 'rates', 'POS JJ', 'NNS', 'money paid for the use of money'
'', 'acquiring bX', '', 'VBG NP', 'readiness to give attention'
'Xs majority', 'specialty chain', 'POS NN', 'NN NN', 'a share in a company or business'
'sold majority', 'parisian incX', 'VBN NN', 'NP NP', 'a share in a company or business'
'failed make', 'payments june', 'VBN VB', 'NNS NP', 'money paid for the use of money'
'million average', 'rate 9X3', 'AB JJ', 'NN AB', 'money paid for the use of money'
'10 %', 'production-sharing contract', 'AB NN', 'NN NN', 'a share in a company or business'
'sale lowered', 'contract 24X3', 'NN VBD', 'NN AB', 'a share in a company or business'
'repsol Xs', '12X45 %', 'NP POS', 'AB NN', 'a share in a company or business'
'retain sizable', 'northwest java', 'VB JJ', 'NP NP', 'a share in a company or business'
'case public', 'herbal medicine', 'NN JJ', 'JJ NN', 'readiness to give attention'
'X best', 'priority actively', 'POS JJS', 'NN RB', 'advantage, advancement or favor'
'cited higher', 'rates junk', 'VBD JJR', 'NNS NN', 'money paid for the use of money'
'bonds sent', 'rates issues', 'NNS VBN', 'NNS NNS', 'money paid for the use of money'
'higher corporate', 'payments moderating', 'JJR JJ', 'NNS VBG', 'money paid for the use of money'
'ease short-term', 'rates soon', 'VB JJ', 'NNS RB', 'money paid for the use of money'
'announced pushing', 'rates full', 'VBD VBG', 'NNS JJ', 'money paid for the use of money'
'influence withhold', 'payments state', 'NN VB', 'NNS NN', 'money paid for the use of money'
'maintaining protected', '', 'VBG JJ', '', 'advantage, advancement or favor'
'said expects', 'rates drop', 'VBD VBZ', 'NNS VB', 'money paid for the use of money'
'activity drop', 'rates', 'NN NN', 'NNS', 'money paid for the use of money'
'', 'bonds due', '', 'NNS JJ', 'money paid for the use of money'
'sizable minority', 'telemunchen west', 'JJ NN', 'NP JJ', 'a share in a company or business'
'', 'uniformity large', '', 'NN JJ', 'advantage, advancement or favor'
'market high', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'developed deep', 'eastern europe', 'VBD JJ', 'NP NP', 'readiness to give attention'
'despite long', 'soviet union', 'IN JJ', 'NP NP', 'readiness to give attention'
'cuts debt', 'payments', 'NNS NN', 'NNS', 'money paid for the use of money'
'cutting debt', 'payments providing', 'VBG NN', 'NNS VBG', 'money paid for the use of money'
'nXt expressed', 'moving prime', 'RB VBN', 'VBG JJ', 'readiness to give attention'
'remainder debt', '', 'NN NN', '', 'money paid for the use of money'
'laced parochial', '', 'VBN JJ', '', 'advantage, advancement or favor'
'plus accrued', 'purchase date', 'CC VBN', 'NN NN', 'money paid for the use of money'
'cash annual', 'bill $', 'NN JJ', 'NN NN', 'money paid for the use of money'
'nXt include', '$ 600', 'RB VB', 'NN AB', 'money paid for the use of money'
'paying cash', 'several years', 'VBG NN', 'JJ NNS', 'money paid for the use of money'
'problem meeting', 'principal payments', 'NN VBG', 'JJ NNS', 'money paid for the use of money'
'Xs expressed', 'mrX janson', 'VBZ VBN', 'NP NP', 'readiness to give attention'
'trump Xs', 'amr rumored', 'NP POS', 'NP VBN', 'readiness to give attention'
'effects round', 'rate increases', 'NNS NN', 'NN NNS', 'money paid for the use of money'
'', 'takeover stocks', '', 'NN NNS', 'readiness to give attention'
'denied takeover', 'saying merely', 'VBN NN', 'VBG RB', 'readiness to give attention'
'rise foreign', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'signaled rise', 'rates causing', 'VBD NN', 'NNS VBG', 'money paid for the use of money'
'', 'rates said', '', 'NNS VBD', 'money paid for the use of money'
'broad investor', 'quickly snapped', 'JJ NN', 'RB VBN', 'readiness to give attention'
'bundesbank raised', 'rates', 'NP VBD', 'NNS', 'money paid for the use of money'
'fall sharply', 'rate hikes', 'VB RB', 'NN NNS', 'money paid for the use of money'
'open', 'figures released', 'JJ', 'NNS VBN', 'a share in a company or business'
'open', 'number contracts', 'JJ', 'NN NNS', 'a share in a company or business'
'acquire equity', 'geographic systems', 'VB NN', 'NP NP', 'a share in a company or business'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'strengthened despite', 'rate increases', 'VBD IN', 'NN NNS', 'money paid for the use of money'
'bundesbank raise', 'rates full', 'NP VB', 'NNS JJ', 'money paid for the use of money'
'let market', 'rates edge', 'VB NN', 'NNS VB', 'money paid for the use of money'
'high uXsX', 'rates compared', 'JJ NP', 'NNS VBN', 'money paid for the use of money'
'60 %', 'cit group', 'AB NN', 'NP NP', 'a share in a company or business'
'Xs fees', 'costs', 'POS NNS', 'NNS', 'money paid for the use of money'
'community share', 'stability avoiding', 'NN VBP', 'NN VBG', 'readiness to give attention'
'tokyo', 'rate worries', 'NP', 'NN NNS', 'money paid for the use of money'
'harmed high', 'rates', 'VBN JJ', 'NNS', 'money paid for the use of money'
'making higher', 'rates nXt', 'VBG JJR', 'NNS RB', 'money paid for the use of money'
'west german', 'rate increase', 'JJ JJ', 'NN NN', 'money paid for the use of money'
'attracted buying', 'local news', 'VBD NN', 'JJ NN', 'readiness to give attention'
'payments minority', '1X37 billion', 'NNS NN', 'AB AB', 'a share in a company or business'
'pressure', 'rates stiff', 'NN', 'NNS JJ', 'money paid for the use of money'
'taxes minority', 'special items', 'NNS NN', 'JJ NNS', 'a share in a company or business'
'raised official', 'rates full', 'VBD JJ', 'NNS JJ', 'money paid for the use of money'
'Xs benchmark', 'rates highest', 'POS JJ', 'NNS JJS', 'money paid for the use of money'
'columbia Xs', 'burbank studio', 'NP POS', 'NP NN', 'a share in a company or business'
'50 million', 'films batman', 'AB AB', 'NNS NP', 'a share in a company or business'
'200 million', 'depreciation taxes', 'AB AB', 'NN NNS', 'money paid for the use of money'
'profits', 'taxes depcreciation', 'NNS', 'NNS NN', 'money paid for the use of money'
'deductibility certain', 'payments original-issue', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'plus accrued', '$ 20', 'CC JJ', 'NN AB', 'money paid for the use of money'
'industry public', '', 'NN JJ', '', 'advantage, advancement or favor'
'blow public', '', 'NN JJ', '', 'advantage, advancement or favor'
'times earnings', 'taxes depreciation', 'NNS NNS', 'NNS NN', 'money paid for the use of money'
'vilification nXt', 'shareholders noting', 'NN RB', 'NNS VBG', 'advantage, advancement or favor'
'industry public', '', 'NN JJ', '', 'advantage, advancement or favor'
'company defaulted', 'payments sept', 'NN VBD', 'NNS NP', 'money paid for the use of money'
'increase british', 'rates -', 'NN JJ', 'NNS ?', 'money paid for the use of money'
'boost key', 'rates', 'VB JJ', 'NNS', 'money paid for the use of money'
'got left', 'rates said', 'VBN JJ', 'NNS VBD', 'money paid for the use of money'
'problem raising', 'rates consumers', 'NN VBG', 'NNS NNS', 'money paid for the use of money'
'continuous ratcheting', 'rates produce', 'JJ VBG', 'NNS VB', 'money paid for the use of money'
'substantial emotional', 'stake', 'JJ JJ', 'NN', 'readiness to give attention'
'', 'rates credit', '', 'NNS NN', 'money paid for the use of money'
'payments principal', 'required gold', 'NNS NN', 'VBN JJ', 'money paid for the use of money'
'pay principal', 'gold', 'VB NN', 'NN', 'money paid for the use of money'
'lowest possible', 'rate', 'JJS JJ', 'NN', 'money paid for the use of money'
'lowest governmental', 'rate earth', 'JJS JJ', 'NN NN', 'money paid for the use of money'
'gold-backed bonds', 'bonds expected', 'JJ NNS', 'NNS VBN', 'money paid for the use of money'
'', 'rate soviet', '', 'NN JJ', 'money paid for the use of money'
'% expected', 'rate initially', 'NN VBN', 'NN RB', 'money paid for the use of money'
'proportionally higher', 'rates stabilize', 'RB JJR', 'NNS VB', 'money paid for the use of money'
'longer expected', 'payment coming', 'RBR VBN', 'NN VBG', 'money paid for the use of money'
'paid lower', 'rate order', 'VBN JJR', 'NN NN', 'money paid for the use of money'
'insurance bonus', 'rates good', 'NN NN', 'NNS JJ', 'money paid for the use of money'
'people express', 'certificates receive', 'NNS VBP', 'NNS VBP', 'readiness to give attention'
'obviously big', 'protecting reputation', 'RB JJ', 'VBG NN', 'advantage, advancement or favor'
'eye-catching first-year', 'rate 12', 'JJ JJ', 'NN AB', 'money paid for the use of money'
'offer', 'rates fixed', 'VBP', 'NNS VBN', 'money paid for the use of money'
'committee Xs', '', 'NN POS', '', 'activity, etc. that one gives attention to'
'seeking high', 'rates contributed', 'VBG JJ', 'NNS VBD', 'money paid for the use of money'
'securities pay', 'periodically', 'NNS VB', 'RB', 'money paid for the use of money'
'series current', 'bonds due', 'NP JJ', 'NNS JJ', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'homeowners make', 'shortfalls cash', 'NNS VB', 'NNS NN', 'money paid for the use of money'
'express great', 'knowing redwoods', 'VBP JJ', 'VBG NNS', 'readiness to give attention'
'fears uXkX', 'rates soon', 'NNS NP', 'NNS RB', 'money paid for the use of money'
'said prospective', 'rate increase', 'VBD JJ', 'NN NN', 'money paid for the use of money'
'investor', 'yesterday centered', 'NN', 'NN VBD', 'readiness to give attention'
'investor', 'blossomed early', 'NN', 'VBD JJ', 'readiness to give attention'
'west german', 'rates put', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'buying brewing', 'leisure food', 'VBG NN', 'NN NN', 'a share in a company or business'
'total return', 'income', 'JJ NN', 'NN', 'money paid for the use of money'
'rising', 'rates also', 'VBG', 'NNS RB', 'money paid for the use of money'
'nXt pay', 'mature thus', 'RB VB', 'VBP RB', 'money paid for the use of money'
'months rising', 'rates', 'NNS VBG', 'NNS', 'money paid for the use of money'
'inflationary signs', 'rates remain', 'JJ NNS', 'NNS VB', 'money paid for the use of money'
'push short-term', 'rates higher', 'VB JJ', 'NNS RBR', 'money paid for the use of money'
'pursue personal', '', 'VB JJ', '', 'activity, etc. that one gives attention to'
'sales meet', 'payments valued', 'NNS VB', 'NNS VBN', 'money paid for the use of money'
'incurred hefty', 'expense debt', 'VBN JJ', 'NN NN', 'money paid for the use of money'
'moves academic', '', 'VBZ JJ', '', 'readiness to give attention'
'maintaining security', 'property participating', 'VBG NN', 'NN VBG', 'a share in a company or business'
'studies draw', 'colleges fall', 'NNS VBP', 'NNS NN', 'readiness to give attention'
'japanese sheer', 'says pace', 'NP JJ', 'VBZ NP', 'readiness to give attention'
'increase german', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'said short-term', 'rates picked', 'VBD JJ', 'NNS VBN', 'money paid for the use of money'
'managers think', 'rates headed', 'NNS VBP', 'NNS VBN', 'money paid for the use of money'
'yield assumes', 'rate remains', 'NN VBZ', 'NN VBZ', 'money paid for the use of money'
'3 %', '', 'AB NN', '', 'money paid for the use of money'
'professional personal', '', 'JJ JJ', '', 'activity, etc. that one gives attention to'
'agreed buy', 'pay-per-view network', 'VBD VB', 'NP NP', 'a share in a company or business'
'resigned re-evaluate', 'goals explore', 'VBD JJ', 'NNS VB', 'activity, etc. that one gives attention to'
'sensitive changes', 'rates biggest', 'JJ NNS', 'NNS JJS', 'money paid for the use of money'
'brought high', 'rates rising', 'VBD JJ', 'NNS VBG', 'money paid for the use of money'
'tuesday stirred', 'among bottom-fishers', 'NP VBD', 'IN NNS', 'readiness to give attention'
'client exchange', 'reconstructed restaurant', 'NN NN', 'JJ NN', 'a share in a company or business'
'funds important', '', 'NNS JJ', '', 'advantage, advancement or favor'
'newspaper perth', 'bell resources', 'NN NP', 'NP NP', 'a share in a company or business'
'accrued unpaid', 'together 1989', 'JJ JJ', 'RB AB', 'money paid for the use of money'
'failed make', 'payments nearly', 'VBD VB', 'NNS RB', 'money paid for the use of money'
'economy foreign', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'midwest general', 'keeping american', 'NP JJ', 'VBG JJ', 'readiness to give attention'
'policy allow', 'rates somewhat', 'NN VB', 'NNS RB', 'money paid for the use of money'
'possible increase', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'issue stirring', 'among safety', 'NN VBG', 'IN NN', 'readiness to give attention'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'said high', 'rates recent', 'VBD JJ', 'NNS JJ', 'money paid for the use of money'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'plus accrued', 'novX 15', 'CC JJ', 'NP AB', 'money paid for the use of money'
'way revival', 'theology religious', 'NN NN', 'NN JJ', 'readiness to give attention'
'vast difference', 'gleefully remarked', 'JJ NN', 'RB VBD', 'readiness to give attention'
'vaX unsecured', 'rates prime', 'NP JJ', 'NNS JJ', 'money paid for the use of money'
'government reduced', 'rate', 'NN JJ', 'NN', 'money paid for the use of money'
'exploit congressional', 'bolar', 'VB JJ', 'NP', 'readiness to give attention'
'find study', 'warner-lambert official', 'VB NN', 'NP NN', 'quality of causing attention to be given to'
'counting increasing', 'americans things', 'VBG VBG', 'NPS NNS', 'readiness to give attention'
'nepalese expressed', 'obtaining weapons', 'NPS VBN', 'VBG NNS', 'readiness to give attention'
'acquire controlling', 'management clyde', 'VB JJ', 'NN NP', 'a share in a company or business'
'cut short-term', 'rates turn', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'able cut', 'rates fast', 'JJ VB', 'NNS RB', 'money paid for the use of money'
'raise key', 'rates least', 'VB JJ', 'NNS JJS', 'money paid for the use of money'
'higher', 'rates abroad', 'JJR', 'NNS RB', 'money paid for the use of money'
'offering best', 'mrX wisner', 'NN JJS', 'NP NP', 'advantage, advancement or favor'
'extent reported', 'earned foreign-exchange', 'NN VBN', 'VBN NN', 'money paid for the use of money'
'policy pushing', 'rates march', 'NN VBG', 'NNS NP', 'money paid for the use of money'
'closely influenced', 'rates purchases', 'RB VBN', 'NNS NNS', 'money paid for the use of money'
'ford Xs', 'european luxury-car', 'NP POS', 'JJ NN', 'readiness to give attention'
'companies expressed', 'buying significant', 'NNS VBN', 'VBG JJ', 'readiness to give attention'
'shortages keep', 'pumped nintendo', 'NNS VBP', 'VBD NP', 'readiness to give attention'
'average', 'rate inched', 'JJ', 'NN VBD', 'money paid for the use of money'
'companies especially', 'declining property', 'NNS RB', 'VBG NN', 'a share in a company or business'
'york franchise', '$ 1X9', 'NP NN', 'NN AB', 'a share in a company or business'
'tennessee large', 'biggest market', 'NP JJ', 'JJS NN', 'a share in a company or business'
'metromedia Xs', 'analysts expect', 'NP POS', 'NNS VBP', 'a share in a company or business'
'% voting', '45X67 %', 'NN NN', 'AB NN', 'a share in a company or business'
'% equity', 'new york', 'NN NN', 'NP NP', 'a share in a company or business'
'% voting', '45 %', 'NN NN', 'AB NN', 'a share in a company or business'
'% equity', 'franchise', 'NN NN', 'NN', 'a share in a company or business'
'franchise expressed', 'attaining remainder', 'NN VBN', 'VBG NN', 'readiness to give attention'
'new york', '', 'NP NP', '', 'a share in a company or business'
'metromedia Xs', 'bellsouth object', 'NP POS', 'NP VB', 'a share in a company or business'
'metromedia Xs', 'ironic thing', 'NP POS', 'JJ NN', 'a share in a company or business'
'addition', 'las vegas', 'NN', 'NP NP', 'a share in a company or business'
'individuals hold', 'partnerships everything', 'NNS VBP', 'NNS NN', 'a share in a company or business'
'numbers payers', 'dividends', 'NNS NNS', 'NNS', 'money paid for the use of money'
'X private', 'exempt funds', 'POS JJ', 'JJ NNS', 'activity, etc. that one gives attention to'
'million equity', 'australian operations', 'AB NN', 'JJ NNS', 'a share in a company or business'
'possible uXkX', 'rate increase', 'JJ NP', 'NN NN', 'money paid for the use of money'
'attracted investor', 'strong earning', 'VBD NN', 'JJ NN', 'readiness to give attention'
'higher uXkX', 'rates still', 'JJR NP', 'NNS RB', 'money paid for the use of money'
'worry effect', 'rates federal', 'VBP NN', 'NNS NP', 'money paid for the use of money'
'considerable investor', '', 'JJ NN', '', 'readiness to give attention'
'group indicated', 'investors', 'NN VBN', 'NNS', 'readiness to give attention'
'deferred february', 'charge promotion', 'VBN NP', 'NN NN', 'money paid for the use of money'
'company pursue', '', 'NN VB', '', 'activity, etc. that one gives attention to'
'mark anticipation', 'rate increase', 'NN NN', 'NN NN', 'money paid for the use of money'
'resigned pursue', '', 'VBD VB', '', 'activity, etc. that one gives attention to'
'11X4 %', 'company anticipation', 'AB NN', 'NN NN', 'a share in a company or business'
'', 'financial group', '', 'JJ NN', 'readiness to give attention'
'buying optimism', 'rates may', 'NN NN', 'NNS MD', 'money paid for the use of money'
'glimmers retail', 'since got', 'NNS JJ', 'IN VBD', 'readiness to give attention'
'consider lowering', 'rates new', 'VB VBG', 'NNS JJ', 'money paid for the use of money'
'speculation lower', 'rates', 'NN JJR', 'NNS', 'money paid for the use of money'
'outlook lower', 'rates according', 'NN JJR', 'NNS VBG', 'money paid for the use of money'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'winning net', 'cost $', 'VBG JJ', 'NN NN', 'money paid for the use of money'
'occidental petroleum', 'oil gas', 'NP NP', 'NN NN', 'a share in a company or business'
'costs lower', 'cost resulting', 'NNS JJR', 'NN VBG', 'money paid for the use of money'
'nominations indications', 'specific areas', 'NNS NNS', 'NN NNS', 'readiness to give attention'
'areas generated', '', 'NNS VBD', '', 'readiness to give attention'
'', 'area expected', '', 'NN VBN', 'readiness to give attention'
'Xs happening', 'rates general', 'VBZ VBG', 'NNS JJ', 'money paid for the use of money'
