% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'announcement confirming recent press reports makes anglo-french partners first ferranti suitors declare', 'publicly', 'NN VBG JJ NN NNS VBZ NP NNS JJ NP NNS VB', 'RB', 'readiness to give attention'
'ferranti chairman sir derek alun-jones declined identify potential bidders ferranti statement said large number major uXkX overseas defense electronics companies expressed', 'company', 'NP NP NP NP NP VBD VB JJ NNS NP NN VBD JJ NN JJ NP JJ NN NNS NNS VBN', 'NN', 'readiness to give attention'
'thomson Xs', 'ferranti intense', 'NP POS', 'NP JJ', 'readiness to give attention'
'french defense contractor matra sXaX denied', 'ferranti stX louis-based emerson electric', 'JJ NN NN NP NP VBD', 'NP NP JJ NP NP', 'readiness to give attention'
'notes zero-coupon securities pay', 'periodically', 'NNS NN NNS VB', 'RB', 'money paid for the use of money'
'series bonds', 'subject tax include current *interest serial bonds due 1992-1999 capital appreciation bonds due 2005-2010 tender option bonds reoffered due 2021', 'NN NNS', 'JJ NN VBP JJ NN NN NNS JJ AB NN NN NNS JJ AB JJ NN NNS VBN JJ AB', 'money paid for the use of money'
'pse incX said exercised option purchase general electric capital corpX majority', 'waste heat recovery facility port arthur texas $ 40 million', 'NP NP VBD VBD NN VB NP NP NP NP NN', 'NN NN NN NN NP NP NP NN AB AB', 'a share in a company or business'
'integrated trying avoid bankruptcy-law filing since failed make', 'payments june nearly $ 1 billion debt proceeds sale core businesses restructure debt', 'NP VBG VB NN NN IN VBD VB', 'NNS NP RB NN AB AB NN NNS NN NN NNS VB NN', 'money paid for the use of money'
'company also', 'insurance brokerage said continuing negotiations whitehall also engaged serious discussions another bidder nXt identify', 'NN RB', 'NN NN VBD VBG NNS NP RB VBN JJ NNS DT NN RB VB', 'a share in a company or business'
'mrX spiotto said hoped situation resolved among creditors bankruptcy filing nXt anybody Xs', '', 'NP NP VBD VBD NN VBN IN NNS NN NN RB NN POS', '', 'advantage, advancement or favor'
'net', 'income - income fannie mae Xs investment portfolio minus interest paid borrowings related costs - rose $ 301X5 million $ 217X2 million year', 'JJ', 'NN ? NN NP NP POS NN NN CC NN VBN NNS VBN NNS ? VBD NN AB AB NN AB AB NN', 'money paid for the use of money'
'good examples apply technology pique customers X', 'lest image-processing become another solution search problem', 'JJ NNS VB NN VB NNS POS', 'IN NN VB DT NN NN NN', 'readiness to give attention'
'unisys problems late said system already generated considerable', 'even among customers nXt typically buy company', 'NP NNS JJ VBD NN RB VBN JJ', 'RB IN NNS RB RB VB NN', 'readiness to give attention'
'weyerhaeuser added jujo paper coX japan increase equity', 'north pacific paper 20 % 10 %', 'NP VBD NP NP NP NP VB NN', 'NP NP NP AB NN AB NN', 'a share in a company or business'
'american maize primarily', 'making corn syrups starches', 'NP NP RB', 'VBG NN NNS NNS', 'a share in a company or business'
'dollar shot higher stocks bonds retreated traders interpreted remarks federal reserve chairman alan greenspan mean central bank nXt lower', 'rates halt dollar Xs rally', 'NN VBD JJR NNS NNS VBD NNS VBD NNS NP NP NP NP NP VB JJ NN RB VB', 'NNS VB NN POS NN', 'money paid for the use of money'
'mrX greenspan prepared speech said governing monetary policy intermediate targets exchange', 'rates may coincide fed Xs long-term inflation-fighting goals', 'NP NP VBN NN VBD VBG JJ NN JJ NNS NN', 'NNS MD VB NP POS JJ JJ NNS', 'money paid for the use of money'
'bond market rally came abrupt halt yesterday federal reserve sent strong signals nXt ready relax', 'rates', 'NN NN NN VBD JJ NN NN NP NP VBD JJ NNS RB JJ VB', 'NNS', 'money paid for the use of money'
'fed also come pressure bush administration reduce', 'rates bring value dollar steer economy clear recession', 'NP RB VBN NN NP NN VB', 'NNS VB NN NN VB NN JJ NN', 'money paid for the use of money'
'yesterday fed chairman alan greenspan suggested lower', 'rates may long-term solution strong dollar', 'NN NP NP NP NP VBD JJR', 'NNS MD JJ NN JJ NN', 'money paid for the use of money'
'speaking uXsX soviet officials moscow fed chairman warned setting monetary policy inordinate attention types intermediate targets level exchange rates', 'rates may promote attainment long-term goals', 'VBG NP NP NNS NP NP NN VBD VBG JJ NN JJ NN NNS JJ NNS NN NN NNS', 'NNS MD VB NN JJ NNS', 'money paid for the use of money'
'remarks interpreted credit market analysts sign fed unlikely lower', 'rates based solely foreign exchange concerns', 'NNS VBN NN NN NNS NN NP JJ VB', 'NNS VBN RB JJ NN NNS', 'money paid for the use of money'
'corporate bond market $ 2X47 billion new debt issued yesterday companies rushed take advantage falling', 'rates', 'JJ NN NN NN AB AB JJ NN VBN NN NNS VBD VB NN VBG', 'NNS', 'money paid for the use of money'
'even though report helped accelerate market Xs downturn dealers said prices depressed mainly belief pound remain pressure government little support currency continue raise', 'rates', 'RB IN NN VBD VB NN POS NN NNS VBD NNS VBN RB NN NN VB NN NN JJ VB NN VB VB', 'NNS', 'money paid for the use of money'
'saatchi AND saatchi fell 17 12 332 fininvest milan italy holding company sylvio berlusconi Xs media', 'said acquired small stake international marketing group investment purposes', 'NP CC NP VBD AB AB AB NP NP NP VBG NN NP NP POS NNS', 'VBD VBD JJ NN JJ NN NN NN NNS', 'a share in a company or business'
'traders concluded sharp reduction', 'rates unlikely mrX savaiko said', 'NNS VBD JJ NN', 'NNS JJ NP NP VBD', 'money paid for the use of money'
'said undid much intervention efforts major central banks last week attempted send dollar lower selling uXsX currency foreign exchange market raising', 'rates europe mrX savaiko said', 'VBD VBD RB NN NNS JJ JJ NNS JJ NN VBD VB NN RBR VBG NP NN JJ NN NN VBG', 'NNS NP NP NP VBD', 'money paid for the use of money'
'main', 'put firm business fairly quickly said', 'JJ', 'VB NN NN RB RB VBD', 'activity, etc. that one gives attention to'
'swap loans 30-year bonds face value discounted 35 % swap 30-year par bonds 6X25 % fixed', 'rates provide new money equal 25 % medium long-term exposure four years', 'VB NNS JJ NNS NN NN VBN AB NN VB JJ JJ NNS AB NN VBN', 'NNS VB JJ NN JJ AB NN NN JJ NN AB NNS', 'money paid for the use of money'
'lin perceived cellular properties worth small cities memphis', 'large growing markets new york los angeles houston', 'NP VBN JJ NNS JJ JJ NNS NP', 'JJ JJ NNS NP NP NP NP NP', 'a share in a company or business'
'anticipation data along hopes lower', 'rates helped push stock nearly 8 % last week', 'NN NNS IN NNS JJR', 'NNS VBN VB NN RB AB NN JJ NN', 'money paid for the use of money'
'artra group said three-step recapitalization lori corpX unit cut lori Xs annual', 'expense $ 3 million save lori $ 2 million annually preferred dividends', 'NP NP VBD JJ NN NP NP NN VB NP POS JJ', 'NN NN AB AB VB NP NN AB AB RB JJ NNS', 'money paid for the use of money'
'artra said move yield artra nonrecurring $ 3 million year $ 550,000 annual', 'savings', 'NP VBD NN VB NP JJ NN AB AB NN NN AB JJ', 'NNS', 'money paid for the use of money'
'star 15 banking units said action nXt taken response specific effort acquire company nXt intended thwart bids considered fair best', 'company shareholders', 'NP AB NN NNS VBD NN RB VBN NN JJ NN VB NN RB VBN VB NNS VBN RB JJS', 'NN NNS', 'advantage, advancement or favor'
'mrX greenspan speaking uXsX soviet officials uXsX ambassador Xs residence moscow warned setting monetary policy inordinate attention types intermediate targets immediate level exchange rates', 'rates may promote attainment long-term goals', 'NP NP VBG NP JJ NNS NP NP POS NN NP VBD VBG JJ NN JJ NN NNS JJ NNS JJ NN NN NNS', 'NNS MD VB NN JJ NNS', 'money paid for the use of money'
'said banks may lost golden opportunity intervening aggressively last week many european nations raised key', 'rates', 'VBD NNS MD VBN JJ NN VBG RB JJ NN JJ JJ NNS VBD JJ', 'NNS', 'money paid for the use of money'
'analysts noted mrX greenspan Xs comments helped market shrug fears fed planned ease uXsX', 'rates soon', 'NNS VBD NP NP POS NNS VBD NN VB NNS NP VBD VB NP', 'NNS RB', 'money paid for the use of money'
'', 'rate fell 8X483 % citicorp Xs $ 50 million weekly auction 91-day commercial paper corporate ious 8X793 % last week Xs sale', '', 'NN VBD AB NN NP POS NN AB AB JJ NN JJ JJ NN JJ NNS AB NN JJ NN POS NN', 'money paid for the use of money'
'transaction include real estate publishing', 'aANDm started 27 years ago garage trumpet player herb alpert partner jerry moss', 'NN VB JJ NN NN', 'NP VBN AB NNS RB NN NN NN NP NP NN NP NP', 'a share in a company or business'
'executives warner angered negotiations free producers team film', 'including batman rain man gorillas mist', 'NNS NP VBN NNS VB NNS NN NN', 'VBG NP NN NN NNS NN', 'a share in a company or business'
'contrast consumer cd yields banks generally keep level week time jumbo cd yields fluctuate daily accurately reflect prevailing', 'rates', 'NN NN NP NNS NNS RB VBP NN NN NN JJ NP NNS VBP RB RB VB VBG', 'NNS', 'money paid for the use of money'
'skipper Xs incX said national pizza coX expressed renewed', 'acquiring operator seafood restaurants', 'NP POS NN VBD NP NP NP VBN VBN', 'VBG NN NN NNS', 'readiness to give attention'
'oil natural gas exploration production concern operator well 60 %', 'exxon corpX holds rest', 'NN JJ NN NN NN NN NN NN AB NN', 'NP NP VBZ NN', 'a share in a company or business'
'dollar surged stock bond market rallies fizzled fed chairman greenspan indicated central bank nXt lower', 'rates halt currency Xs run-up', 'NN VBD NN NN NN NNS VBN NP NP NP VBD JJ NN RB VB', 'NNS VB NN POS NN', 'money paid for the use of money'
'bush administration urging fed help bring dollar lowering short-term', 'rates', 'NP NN VBG NP VB VB NN VBG JJ', 'NNS', 'money paid for the use of money'
'horn AND hardart direct-marketing restaurant businesses plans $ 20 million proceeds buy back ownership', 'five parcels new york city property', 'NP CC NP NN NN NNS VBZ NN AB AB NNS VB RB NN', 'AB NNS NP NP NP NN', 'a share in a company or business'
'taking passive hands-off approach may unwittingly place shareholders X', 'risk', 'VBG JJ JJ NN MD RB VB NNS POS', 'NN', 'advantage, advancement or favor'
'profit current operations first-six months payments minority', 'came 220X6 million francs 157X3 million francs corresponding period 1988', 'NN JJ NNS JJ NNS NNS NN', 'VBD AB AB NNS AB AB NNS JJ NN AB', 'a share in a company or business'
'say represent public', 'nXt badly *interest either', 'VBP VBP JJ', 'RB RB NNS RB', 'advantage, advancement or favor'
'say represent public *interest nXt badly', 'either', 'VBP VBP JJ NN RB RB', 'RB', 'advantage, advancement or favor'
'among', 'pritzkers control hyatt hotel chain', 'IN', 'NP NN NP NP NN', 'a share in a company or business'
'florida session particular', 'landmark florida supreme court ruling last week struck law restricting abortions', 'NP NN JJ', 'NN NP NP NP NN JJ NN VBD NN VBG NNS', 'quality of causing attention to be given to'
'startled people saying gold subsequently recover go high $ 3,750 ounce years then-rampant inflation soaring', 'rates continued pace said', 'VBD NNS VBG NN RB VB VB JJ NN AB NN NNS JJ NN VBG', 'NNS VBD NN VBD', 'money paid for the use of money'
'zero-coupon bonds pay', 'issued deep discount', 'JJ NNS VBP', 'VBN JJ NN', 'money paid for the use of money'
'mrX mcavity toronto-based publisher editor deliberations newsletter president mvp capital corpX mining finance concern', '40 gold mining exploration firms said attachment gold strong gold currency 3,000-year history', 'NP NP JJ NN NN NP NN NN NP NP NP NN NN NN', 'AB NN NN NN NNS VBD NN NN JJ NN NN JJ NN', 'a share in a company or business'
'willingness west germany hike', 'rates 100 basis points central bank last week indicates real commitment made depress dollar far intervention measures', 'NN NP NP VB', 'NNS AB NN NNS JJ NN JJ NN VBZ JJ NN VBN VB NN RB NN NNS', 'money paid for the use of money'
'connection uXsX auto maker said gm discussing possibility acquiring minority', 'jaguar plc assist jaguar remaining independent british-owned manufacturer', 'NN NP NN NN VBD NP VBG NN VBG NN', 'NP NP VB NP VBG JJ JJ NN', 'a share in a company or business'
'part ongoing restructuring program usx corpX said sold equity', 'three south african companies produce raw materials longer essential operations', 'NN JJ NN NN NP NP VBD VBD NN', 'AB NP NP NNS VBP JJ NNS JJR JJ NNS', 'a share in a company or business'
'usx said usx holdings incX unit held non-controlling', 'companies since 1968', 'NP VBD NP NP NP NN VBN JJ', 'NNS IN AB', 'a share in a company or business'
'proceeds used reduce debt take bank pressure away reduce', 'payments', 'NNS VBN VB NN VB NN NN RB VB', 'NNS', 'money paid for the use of money'
'paul stuart also promised honor skip-a-month payment plan', 'accrue decide take advantage offer', 'NP NP RB VBD VB JJ NN NN', 'VB VBP VB NN NN', 'money paid for the use of money'
'monday october 9 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'loss also included $ 5X6 million', 'expenses', 'NN RB VBD NN AB AB', 'NNS', 'money paid for the use of money'
'average total return including price changes', 'income 28 junk muni funds tracked lipper analytical services incX 9X29 % return 24 insured muni funds averaged 8X89 %', 'JJ NN NN VBG NN NNS', 'NN AB NN NN NNS VBN NP NP NP NP AB NN NN AB VBN NN NNS VBD AB NN', 'money paid for the use of money'
'$ 10,000 investment example half percentage point represents difference $ 50 year', 'income', 'NN AB NN NN JJ NN NN VBZ NN NN AB NN', 'NN', 'money paid for the use of money'
'total return including price changes', 'income municipal bond mutual funds periods ending septX 30', 'JJ NN VBG NN NNS', 'NN JJ NN JJ NNS NNS VBG NP AB', 'money paid for the use of money'
'lacking voting representation congress puerto rico years retained politically potent lobbyists defend', '', 'VBG NN NN NP NP NP NNS VBN RB JJ NNS VB', '', 'advantage, advancement or favor'
'john lipsky international economist salomon brothers london said boost british', 'rates last week nXt enough increase pound Xs appeal relative currencies', 'NP NP JJ NN NP NP NP VBD NN JJ', 'NNS JJ NN RB JJ VB NN POS NN JJ NNS', 'money paid for the use of money'
'currency Xs weakness helped amplify market concerns rising', 'rates possible recession', 'NN POS NN VBD VB NN NNS VBG', 'NNS JJ NN', 'money paid for the use of money'
'analysts fear continued slide pound along current high', 'rates put britain back high-inflation low-growth predicament 1970s', 'NNS VBP VBN NN NN IN JJ JJ', 'NNS VB NP RB JJ JJ NN NNS', 'money paid for the use of money'
'building stocks battered last week Xs jump', 'rates', 'NN NNS VBN JJ NN POS NN', 'NNS', 'money paid for the use of money'
'dealers said getting support general', 'airline sector uXsX investor donald trump Xs bid last week american airlines', 'NNS VBD VBG NN JJ', 'NN NN NP NN NP NP POS NN JJ NN NP NP', 'readiness to give attention'
'traders said market absorbed impact last week Xs increases', 'rates europe', 'NNS VBD NN VBN NN JJ NN POS NNS', 'NNS NP', 'money paid for the use of money'
'total return measures price changes plus', 'income', 'JJ NN VBZ NN NNS CC', 'NN', 'money paid for the use of money'
'performance sparked mild resurgence investor', 'foreign government bonds tend rise value dollar weakens making foreign securities worth dollar terms', 'NN VBN JJ NN NN', 'JJ NN NNS VBP VB NN NN VBZ VBG JJ NNS JJ NN NNS', 'readiness to give attention'
'latest dollar attack many european central banks last week raised', 'rates', 'JJS NN NN JJ JJ JJ NNS JJ NN VBD', 'NNS', 'money paid for the use of money'
'among things mrX prapas contends foreign', 'rates probably peaked inflation abroad appears control economic growth beginning slow conditions boost price foreign government bonds', 'IN NNS NP NP VBZ JJ', 'NNS RB VBN NN RB VBZ NN JJ NN VBG VB NNS VB NN JJ NN NNS', 'money paid for the use of money'
'pronounced short end market growing speculation federal reserve soon lower', 'rates counter fresh signs economic weakness', 'JJ JJ NN NN VBG NN NP NP RB VB', 'NNS VB JJ NNS JJ NN', 'money paid for the use of money'
'expectations falling', 'rates sparked friday Xs release weaker-than-expected september employment data', 'NNS VBG', 'NNS VBN NP POS NN JJ NP NN NNS', 'money paid for the use of money'
'meanwhile fed Xs efforts wring inflationary pressures economy keeping', 'rates high increased burden corporate *interest payments', 'RB NP POS NNS VB JJ NNS NN VBG', 'NNS JJ VBN NN JJ NN NNS', 'money paid for the use of money'
'meanwhile fed Xs efforts wring inflationary pressures economy keeping *interest rates high increased burden corporate', 'payments', 'RB NP POS NNS VB JJ NNS NN VBG NN NNS JJ VBN NN JJ', 'NNS', 'money paid for the use of money'
'profit-taking made presence felt broad market early trading prices drifted session lows', 'blue chips technology issues including ibm provided catalyst stocks reverse course', 'NN VBD NN VBN JJ NN JJ NN NNS VBD NN NNS', 'JJ NNS NN NNS VBG NP VBD NN NNS VB NN', 'readiness to give attention'
'critics believe world bank round-tripping funds lending money pay', 'guise controversial structural adjustment loans order keep arrearages loan portfolio', 'NNS VBP NP NP NN NNS VBG NN VB', 'NN JJ JJ NN NNS NN VB NNS NN NN', 'money paid for the use of money'
'idea money-center banks statesmen world obligations take precedence shareholders X', 'extremely dangerous free banking system', 'NN JJ NNS NNS NN NNS VBP NN NNS POS', 'RB JJ JJ NN NN', 'advantage, advancement or favor'
'believes investor', 'broaden second-tier stocks sector leading issues microsoft intel continue well', 'VBZ NN', 'VB JJ NNS NN VBG NNS NP NP VBP RB', 'readiness to give attention'
'first executive attracted', 'two investment partnerships recently slipped 5 12 3', 'NP NP VBN', 'AB NN NNS RB VBD AB AB AB', 'readiness to give attention'
'jaguar Xs american depositary receipts slid 1 10 7 volume 3X4 million british car maker said general motors considering taking minority', 'company', 'NP POS NP NN NNS VBD AB AB AB NN AB AB JJ NN NN VBD NP NP VBG VBG NN', 'NN', 'a share in a company or business'
'british company interpreted ford Xs', 'prelude hostile takeover bid', 'JJ NN VBN NP POS', 'NN JJ NN NN', 'readiness to give attention'
'spokeswoman told jones professional investor report presentation managers investment conference last week may generated', 'stock', 'NN VBD NP NP NP NP NN NNS NN NN JJ NN MD VBN', 'NN', 'readiness to give attention'
'market participants said pound suffering delayed reaction last week Xs coordinated', 'rate increases europe pushed britain Xs base lending rate full percentage point 15 % highest level since 1982', 'NN NNS VBD NN VBG VBN NN JJ NN POS VBN', 'NN NNS NP VBD NP POS NN NN NN JJ NN NN AB NN JJS NN IN AB', 'money paid for the use of money'
'according analysts concern gripped market britain Xs high', 'rate policy prompt recession leave pound vulnerable even steeper decline', 'VBG NNS NN VBN NN NP POS JJ', 'NN NN VB NN VB NN JJ RB JJR NN', 'money paid for the use of money'
'traders disillusioned', 'rate hike beginning realize Xre seeing decaying united kingdom economy said scott greene chief dealer bank julius baer AND', 'NNS VBN', 'NN NN VBG VB VBP VBG JJ NP NP NN VBD NP NP JJ NN NP NP NP CC', 'money paid for the use of money'
'traders said bidding dollar firm despite', 'rate increases europe expected depress uXsX unit drawing funds away dollar-denominated instruments', 'NNS VBD NN NN JJ IN', 'NN NNS NP VBN VB NP NN VBG NNS RB JJ NNS', 'money paid for the use of money'
'', 'corporate sector', '', 'JJ NN', 'readiness to give attention'
'total cost bailout including', 'expected roughly $ 166 billion 10 years', 'JJ NN NN VBG', 'VBN RB NN AB AB AB NNS', 'money paid for the use of money'
'industry analysts say resolution trust issues notes carry full faith credit uXsX government allow pay lowest possible', 'rate amount notes count federal outlays deepen budget deficit', 'NN NNS VBP NP NP VBZ NNS VBP JJ NN NN NP NN VB VB JJS JJ', 'NN NN NNS VB JJ NNS VB NN NN', 'money paid for the use of money'
'high', 'rates example stifled housing discouraged business spending', 'JJ', 'NNS NN VBN NN VBN NN NN', 'money paid for the use of money'
'union pacific officials said earnings decline largely reflects additional', 'expense related share-repurchase program', 'NP NP NNS VBD NNS NN RB VBZ JJ', 'NN VBN JJ NN', 'money paid for the use of money'
'redemption pursuant mandatory sinking fund par plus accrued', '', 'NN JJ JJ VBG NN NN CC JJ', '', 'money paid for the use of money'
'continues uXsX', 'hurt', 'VBZ NP', 'VBN', 'advantage, advancement or favor'
'saudi bad-neighbor policy hurts uXsX', '', 'JJ JJ NN VBZ NP', '', 'advantage, advancement or favor'
'washington remain idle saudi policies hurt well', '', 'NP VB JJ JJ NNS VBP RB', '', 'advantage, advancement or favor'
'bce incX montreal-based holding company', 'telecommunications gas natural resources', 'NP NP JJ NN NN', 'NNS NN JJ NNS', 'a share in a company or business'
'cellular phone company gas distribution operations florida said proposed facility consists four-year revolving credit subsequent six-year term loan annual', 'running prime prime plus 1X25 percentage points depending balance outstanding', 'JJ NN NN NN NN NNS NP VBD JJ NN VBZ JJ JJ NN JJ JJ NN NN JJ', 'VBG JJ JJ CC AB NN NNS VBG NN JJ', 'money paid for the use of money'
'previous cases representatives school Xs athletic', 'iXeX boosters involved', 'JJ NNS NNS NN POS JJ', 'FW NNS VBN', 'advantage, advancement or favor'
'national city corpX strong profit year wider-than-normal spread', 'rates good economic conditions ohio kentucky service area edward bX brandon chairman chief executive officer said', 'NP NP NP JJ NN NN JJ NN', 'NNS JJ JJ NNS NP NP NN NN NP NP NP NN JJ JJ NN VBD', 'money paid for the use of money'
'spread national city Xs', 'income loans cost funds particularly favorable first half officials said', 'NN NP NP POS', 'NN NNS NN NNS RB JJ JJ NN NNS VBD', 'money paid for the use of money'
'however difficult next year show improvement', 'margin loan rates cost funds said mrX daberko responsible banking operations', 'RB JJ JJ NN VB NN', 'NN NN NNS NN NNS VBD NP NP JJ NN NNS', 'money paid for the use of money'
'federal reserve board 1989 first half kept short-term', 'rates relatively high relation intermediate longer rates said', 'NP NP NP AB JJ NN VBD JJ', 'NNS RB JJ NN JJ JJR NNS VBD', 'money paid for the use of money'
'many national city Xs commercial consumer loans variable rates tied prime short-term', 'rates said', 'JJ NP NP POS NN NN NNS JJ NNS VBN JJ JJ', 'NNS VBD', 'money paid for the use of money'
'auto companies X finance subsidiaries appear increasing share auto-financing business partly below-market', 'rates said', 'NN NNS POS NN NNS VBP VBG NN NN NN RB JJ', 'NNS VBD', 'money paid for the use of money'
'harcourt emphasized cash flow publishing insurance operations entirely sufficient pay cash', 'obligations foreseeable future', 'NP VBD NN NN NN NN NNS RB JJ VB NN', 'NNS JJ NN', 'money paid for the use of money'
'said operating profit parks $ 65 million 1989 whereas', 'savings selling parks $ 115 million', 'VBD NN NN NNS NN AB AB AB IN', 'NNS VBG NNS NN AB AB', 'money paid for the use of money'
'Xre giving $ 75 million cash flow picking $ 115 million reduced', 'expense', 'VBP VBG NN AB AB NN NN VBG NN AB AB JJ', 'NN', 'money paid for the use of money'
'integrated trying avoid bankruptcy-law filing since failed make', 'payments june nearly $ 1 billion debt', 'NP VBG VB NN NN IN VBD VB', 'NNS NP RB NN AB AB NN', 'money paid for the use of money'
'students chanting western civ got go charged reading list reflected values white male western power structure demanded books recognized', 'women minorities third world', 'NNS VBG JJ NN VBD VB VBD NN NN VBD NNS JJ NN JJ NN NN VBD NNS VBD', 'NNS NNS NP NP', 'activity, etc. that one gives attention to'
'toy maker also said group currently owns 19X5 % tonka Xs shares said sec filing group Xs', 'best served exploring opportunities sell part tonka stock', 'NN NN RB VBD NN RB VBZ AB NN NP POS NNS VBD NP NN NN POS', 'RB VBN VBG NNS VB NN NP NN', 'advantage, advancement or favor'
'tonka said group includes tonka vice chairman gordon lX bramah also said may acquire shares others view toward obtaining controlling', 'company', 'NP VBD NN VBZ NP NP NP NP NP NP RB VBD MD VB NNS NNS NN IN VBG NN', 'NN', 'a share in a company or business'
'government Xs moves came week mrX pocklington missed c$ 400,000', 'payment c$ 6 million government loan failed second time four months meet construction start-up deadline proposed c$ 22 million pork plant', 'NN POS NNS VBD NN NP NP VBD NN AB', 'NN NN AB AB NN NN VBD JJ NN AB NNS VB NN NN NN VBN NN AB AB NN NN', 'money paid for the use of money'
'bill krause 3com chairman chief executive officer said talked digital communications receiving letter make sure', 'business arrangement', 'NP NP NP NN JJ JJ NN VBD VBD NP NP VBG NN VB JJ', 'NN NN', 'readiness to give attention'
'traders fear stock baskets attract little customer', 'leave market makers less room get unwanted positions', 'NNS VBP NN NNS VBP JJ NN', 'VB NN NNS JJR NN VB JJ NNS', 'readiness to give attention'
'said merrill lynch kidder peabody still', 'becoming market makers', 'VBD NP NP NP NP RB', 'VBG NN NNS', 'readiness to give attention'
'group big board floor brokers alliance floor brokers already fired testy memorandum sec criticizing stock basket risky', 'public', 'NN NP NP NN NNS NP NP NP RB VBN JJ NN NP VBG NN NN JJ', 'NN', 'advantage, advancement or favor'
'forced european airline reduce planned investment saying contravened spirit federal aviation laws prohibit foreigners owning 25 % voting', 'uXsX airlines say carriers controlled uXsX citizens', 'VBD JJ NN VB JJ NN VBG VBD NN JJ NN NNS VBP NNS VBG AB NN NN', 'NP NNS VBP NNS VBN NP NNS', 'a share in a company or business'
'nation still running big trade budget deficits investments help hold', 'rates', 'NN RB VBG JJ NN NN NNS NNS VBP VB', 'NNS', 'money paid for the use of money'
'basically much open investment possible long create problem national security strategic', 'uXsX trade representative carla hills told members congress last week asked mrX skinner Xs moves', 'RB JJ JJ NN JJ RB VB NN JJ NN JJ', 'NP NP NP NP NP VBD NNS NP JJ NN VBN NP NP POS NNS', 'advantage, advancement or favor'
'dutch stepping', 'uXsX airlines already control parent uXsX-based shell oil', 'NPS VBG', 'NP NNS RB VBP NN JJ NP NP', 'a share in a company or business'
'friday october 6 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'american elects compete economically mrX trump recapitalization stock buy-back special dividend financed new debt difficult make political argument excessive airline debt levels violate public', '', 'NP VBZ VB RB NP NP NN NN NN JJ NN VBN JJ NN JJ VB JJ NN JJ NN NN NNS VBP JJ', '', 'advantage, advancement or favor'
'', '1 point three-month vienna interbank offered rate three billion schillings international tranche credit suisse first boston ltdX coordinator', '', 'AB NN JJ NP NN VBN NN AB AB NNS JJ NN NP NP NP NP NP NN', 'money paid for the use of money'
'', 'rates generally declining since last spring despite upward blips recent weeks', '', 'NNS RB VBG IN JJ NN IN JJ NNS JJ NNS', 'money paid for the use of money'
'', 'rates continue downward yields money-market accounts money funds decline', '', 'NNS VB RB NNS NN NNS NN NNS VB', 'money paid for the use of money'
'recent first ladies mrsX bush taken special', 'one issue', 'JJ JJ NNS NP NP VBN JJ', 'AB NN', 'readiness to give attention'
'case literacy issue combines personal', 'sense political savvy', 'NN NN NN VBZ JJ', 'NN JJ NN', 'readiness to give attention'
'five children including one son struggled dyslexia always', 'education', 'AB NNS VBG AB NN VBD NN RB', 'NN', 'readiness to give attention'
'federal reserve resisting domestic international pressure reduce', 'rates bring dollar causing escalating tension bush administration', 'NP NP VBG JJ JJ NN VB', 'NNS VB NN VBG VBG NN NP NN', 'money paid for the use of money'
'signs weakening economy friday Xs report unemployment rate rose september still may lead central bank lower', 'rates coming weeks', 'NNS NN NN NP POS NN NN NN VBD NP RB MD VB JJ NN JJR', 'NNS VBG NNS', 'money paid for the use of money'
'fed sets', 'rate policy much larger lasting movements exchange rates', 'NP VBZ', 'NN NN RB JJR VBG NNS NN NNS', 'money paid for the use of money'
'lower', 'rates reduce upward pressure dollar making dollar securities less attractive foreign investors', 'JJR', 'NNS VBP JJ NN NN VBG NN NNS RBR JJ JJ NNS', 'money paid for the use of money'
'european central banks also helped relieve upward pressure dollar raising', 'rates last week', 'JJ JJ NNS RB VBD VB JJ NN NN VBG', 'NNS JJ NN', 'money paid for the use of money'
'mrX johnson consistent advocate lowering', 'rates help domestic economy', 'NP NP JJ NN VBG', 'NNS VB JJ NN', 'money paid for the use of money'
'newly released fed minutes also disclose central bank Xs policy-making open-market committee voted 10-1 augX 22 meeting leave monetary policy unchanged lean toward lower', 'rates economic conditions warranted', 'RB VBN NP NNS RB VBP JJ NN POS JJ JJ NN VBD AB NP AB NN VB JJ NN JJ VB IN JJR', 'NNS JJ NNS VBD', 'money paid for the use of money'
'several companies individuals expressed', 'purchasing principal assets company said', 'JJ NNS NNS VBN', 'VBG JJ NNS NN VBD', 'readiness to give attention'
'despite year Xs spectacular rallies stock bond markets - including record high jones industrial average one-percentage-point drop', 'rates - good times nXt returned', 'IN NN POS JJ NNS NN NN NNS ? VBG NN NN NP NP NP JJ NN', 'NNS ? JJ NNS RB VBN', 'money paid for the use of money'
