% File: interest_4-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'reduction sharp concluded traders', 'rates unlikely mrX savaiko', 'NN JJ VBD NNS', 'NNS JJ NP NP', 'money paid for the use of money'
'raising market exchange foreign', 'rates europe mrX savaiko', 'VBG NN NN JJ', 'NNS NP NP NP', 'money paid for the use of money'
'main', 'put firm business fairly', 'JJ', 'VB NN NN RB', 'activity, etc. that one gives attention to'
'fixed % 6X25 bonds', 'rates provide new money', 'VBN NN AB NNS', 'NNS VB JJ NN', 'money paid for the use of money'
'memphis cities small worth', 'large growing markets new', 'NP NNS JJ JJ', 'JJ JJ NNS NP', 'a share in a company or business'
'lower hopes along data', 'rates helped push stock', 'JJR NNS IN NNS', 'NNS VBN VB NN', 'money paid for the use of money'
'annual Xs lori cut', 'expense $ 3 million', 'JJ POS NP VB', 'NN NN AB AB', 'money paid for the use of money'
'annual 550,000 $ year', 'savings', 'JJ AB NN NN', 'NNS', 'money paid for the use of money'
'best fair considered bids', 'company shareholders', 'JJS RB VBN NNS', 'NN NNS', 'advantage, advancement or favor'
'rates exchange level immediate', 'rates may promote attainment', 'NNS NN NN JJ', 'NNS MD VB NN', 'money paid for the use of money'
'key raised nations european', 'rates', 'JJ VBD NNS JJ', 'NNS', 'money paid for the use of money'
'uXsX ease planned fed', 'rates soon', 'NP VB VBD NP', 'NNS RB', 'money paid for the use of money'
'', 'rate fell 8X483 %', '', 'NN VBD AB NN', 'money paid for the use of money'
'publishing estate real include', 'aANDm started 27 years', 'NN NN JJ VB', 'NP VBN AB NNS', 'a share in a company or business'
'film team producers free', 'including batman rain man', 'NN NN NNS VB', 'VBG NP NN NN', 'a share in a company or business'
'prevailing reflect accurately daily', 'rates', 'VBG VB RB RB', 'NNS', 'money paid for the use of money'
'renewed expressed coX pizza', 'acquiring operator seafood restaurants', 'VBN VBN NP NP', 'VBG NN NN NNS', 'readiness to give attention'
'% 60 well operator', 'exxon corpX holds rest', 'NN AB NN NN', 'NP NP VBZ NN', 'a share in a company or business'
'lower nXt bank central', 'rates halt currency Xs', 'VB RB NN JJ', 'NNS VB NN POS', 'money paid for the use of money'
'short-term lowering dollar bring', 'rates', 'JJ VBG NN VB', 'NNS', 'money paid for the use of money'
'ownership back buy proceeds', 'five parcels new york', 'NN RB VB NNS', 'AB NNS NP NP', 'a share in a company or business'
'X shareholders place unwittingly', 'risk', 'POS NNS VB RB', 'NN', 'advantage, advancement or favor'
'minority payments months first-six', 'came 220X6 million francs', 'NN NNS NNS JJ', 'VBD AB AB NNS', 'a share in a company or business'
'public represent say', 'nXt badly *interest either', 'JJ VBP VBP', 'RB RB NNS RB', 'advantage, advancement or favor'
'badly nXt *interest public', 'either', 'RB RB NN JJ', 'RB', 'advantage, advancement or favor'
'among', 'pritzkers control hyatt hotel', 'IN', 'NP NN NP NP', 'a share in a company or business'
'particular session florida', 'landmark florida supreme court', 'JJ NN NP', 'NN NP NP NP', 'quality of causing attention to be given to'
'soaring inflation then-rampant years', 'rates continued pace said', 'VBG NN JJ NNS', 'NNS VBD NN VBD', 'money paid for the use of money'
'pay bonds zero-coupon', 'issued deep discount', 'VBP NNS JJ', 'VBN JJ NN', 'money paid for the use of money'
'concern finance mining corpX', '40 gold mining exploration', 'NN NN NN NP', 'AB NN NN NN', 'a share in a company or business'
'hike germany west willingness', 'rates 100 basis points', 'VB NP NP NN', 'NNS AB NN NNS', 'money paid for the use of money'
'minority acquiring possibility discussing', 'jaguar plc assist jaguar', 'NN VBG NN VBG', 'NP NP VB NP', 'a share in a company or business'
'equity sold said corpX', 'three south african companies', 'NN VBD VBD NP', 'AB NP NP NNS', 'a share in a company or business'
'non-controlling held unit incX', 'companies since 1968', 'JJ VBN NN NP', 'NNS IN AB', 'a share in a company or business'
'reduce away pressure bank', 'payments', 'VB RB NN NN', 'NNS', 'money paid for the use of money'
'plan payment skip-a-month honor', 'accrue decide take advantage', 'NN NN JJ VB', 'VB VBP VB NN', 'money paid for the use of money'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'million 5X6 $ included', 'expenses', 'AB AB NN VBD', 'NNS', 'money paid for the use of money'
'changes price including return', 'income 28 junk muni', 'NNS NN VBG NN', 'NN AB NN NN', 'money paid for the use of money'
'year 50 $ difference', 'income', 'NN AB NN NN', 'NN', 'money paid for the use of money'
'changes price including return', 'income municipal bond mutual', 'NNS NN VBG NN', 'NN JJ NN JJ', 'money paid for the use of money'
'defend lobbyists potent politically', '', 'VB NNS JJ RB', '', 'advantage, advancement or favor'
'british boost said london', 'rates last week nXt', 'JJ NN VBD NP', 'NNS JJ NN RB', 'money paid for the use of money'
'rising concerns market amplify', 'rates possible recession', 'VBG NNS NN VB', 'NNS JJ NN', 'money paid for the use of money'
'high current along pound', 'rates put britain back', 'JJ JJ IN NN', 'NNS VB NP RB', 'money paid for the use of money'
'jump Xs week last', 'rates', 'NN POS NN JJ', 'NNS', 'money paid for the use of money'
'general support getting said', 'airline sector uXsX investor', 'JJ NN VBG VBD', 'NN NN NP NN', 'readiness to give attention'
'increases Xs week last', 'rates europe', 'NNS POS NN JJ', 'NNS NP', 'money paid for the use of money'
'plus changes price measures', 'income', 'CC NNS NN VBZ', 'NN', 'money paid for the use of money'
'investor resurgence mild sparked', 'foreign government bonds tend', 'NN NN JJ VBN', 'JJ NN NNS VBP', 'readiness to give attention'
'raised week last banks', 'rates', 'VBD NN JJ NNS', 'NNS', 'money paid for the use of money'
'foreign contends prapas mrX', 'rates probably peaked inflation', 'JJ VBZ NP NP', 'NNS RB VBN NN', 'money paid for the use of money'
'lower soon reserve federal', 'rates counter fresh signs', 'VB RB NP NP', 'NNS VB JJ NNS', 'money paid for the use of money'
'falling expectations', 'rates sparked friday Xs', 'VBG NNS', 'NNS VBN NP POS', 'money paid for the use of money'
'keeping economy pressures inflationary', 'rates high increased burden', 'VBG NN NNS JJ', 'NNS JJ VBN NN', 'money paid for the use of money'
'corporate burden increased high', 'payments', 'JJ NN VBN JJ', 'NNS', 'money paid for the use of money'
'lows session drifted prices', 'blue chips technology issues', 'NNS NN VBD NNS', 'JJ NNS NN NNS', 'readiness to give attention'
'pay money lending funds', 'guise controversial structural adjustment', 'VB NN VBG NNS', 'NN JJ JJ NN', 'money paid for the use of money'
'X shareholders precedence take', 'extremely dangerous free banking', 'POS NNS NN VBP', 'RB JJ JJ NN', 'advantage, advancement or favor'
'investor believes', 'broaden second-tier stocks sector', 'NN VBZ', 'VB JJ NNS NN', 'readiness to give attention'
'attracted executive first', 'two investment partnerships recently', 'VBN NP NP', 'AB NN NNS RB', 'readiness to give attention'
'minority taking considering motors', 'company', 'NN VBG VBG NP', 'NN', 'a share in a company or business'
'Xs ford interpreted company', 'prelude hostile takeover bid', 'POS NP VBN NN', 'NN JJ NN NN', 'readiness to give attention'
'generated may week last', 'stock', 'VBN MD NN JJ', 'NN', 'readiness to give attention'
'coordinated Xs week last', 'rate increases europe pushed', 'VBN POS NN JJ', 'NN NNS NP VBD', 'money paid for the use of money'
'high Xs britain market', 'rate policy prompt recession', 'JJ POS NP NN', 'NN NN VB NN', 'money paid for the use of money'
'disillusioned traders', 'rate hike beginning realize', 'VBN NNS', 'NN NN VBG VB', 'money paid for the use of money'
'despite firm dollar bidding', 'rate increases europe expected', 'IN JJ NN NN', 'NN NNS NP VBN', 'money paid for the use of money'
'', 'corporate sector', '', 'JJ NN', 'readiness to give attention'
'including bailout cost total', 'expected roughly $ 166', 'VBG NN NN JJ', 'VBN RB NN AB', 'money paid for the use of money'
'possible lowest pay allow', 'rate amount notes count', 'JJ JJS VB VB', 'NN NN NNS VB', 'money paid for the use of money'
'high', 'rates example stifled housing', 'JJ', 'NNS NN VBN NN', 'money paid for the use of money'
'additional reflects largely decline', 'expense related share-repurchase program', 'JJ VBZ RB NN', 'NN VBN JJ NN', 'money paid for the use of money'
'accrued plus par fund', '', 'JJ CC NN NN', '', 'money paid for the use of money'
'uXsX continues', 'hurt', 'NP VBZ', 'VBN', 'advantage, advancement or favor'
'uXsX hurts policy bad-neighbor', '', 'NP VBZ NN JJ', '', 'advantage, advancement or favor'
'well hurt policies saudi', '', 'RB VBP NNS JJ', '', 'advantage, advancement or favor'
'company holding montreal-based incX', 'telecommunications gas natural resources', 'NN NN JJ NP', 'NNS NN JJ NNS', 'a share in a company or business'
'annual loan term six-year', 'running prime prime plus', 'JJ NN NN JJ', 'VBG JJ JJ CC', 'money paid for the use of money'
'athletic Xs school representatives', 'iXeX boosters involved', 'JJ POS NN NNS', 'FW NNS VBN', 'advantage, advancement or favor'
'spread wider-than-normal year profit', 'rates good economic conditions', 'NN JJ NN NN', 'NNS JJ JJ NNS', 'money paid for the use of money'
'Xs city national spread', 'income loans cost funds', 'POS NP NP NN', 'NN NNS NN NNS', 'money paid for the use of money'
'improvement show year next', 'margin loan rates cost', 'NN VB NN JJ', 'NN NN NNS NN', 'money paid for the use of money'
'short-term kept half first', 'rates relatively high relation', 'JJ VBD NN JJ', 'NNS RB JJ NN', 'money paid for the use of money'
'short-term prime tied rates', 'rates said', 'JJ JJ VBN NNS', 'NNS VBD', 'money paid for the use of money'
'below-market partly business auto-financing', 'rates said', 'JJ RB NN NN', 'NNS VBD', 'money paid for the use of money'
'cash pay sufficient entirely', 'obligations foreseeable future', 'NN VB JJ RB', 'NNS JJ NN', 'money paid for the use of money'
'whereas 1989 million 65', 'savings selling parks $', 'IN AB AB AB', 'NNS VBG NNS NN', 'money paid for the use of money'
'reduced million 115 $', 'expense', 'JJ AB AB NN', 'NN', 'money paid for the use of money'
'make failed since filing', 'payments june nearly $', 'VB VBD IN NN', 'NNS NP RB NN', 'money paid for the use of money'
'recognized books demanded structure', 'women minorities third world', 'VBD NNS VBD NN', 'NNS NNS NP NP', 'activity, etc. that one gives attention to'
'Xs group filing sec', 'best served exploring opportunities', 'POS NN NN NP', 'RB VBN VBG NNS', 'advantage, advancement or favor'
'controlling obtaining toward view', 'company', 'NN VBG IN NN', 'NN', 'a share in a company or business'
'400,000 c$ missed pocklington', 'payment c$ 6 million', 'AB NN VBD NP', 'NN NN AB AB', 'money paid for the use of money'
'sure make letter receiving', 'business arrangement', 'JJ VB NN VBG', 'NN NN', 'readiness to give attention'
'customer little attract baskets', 'leave market makers less', 'NN JJ VBP NNS', 'VB NN NNS JJR', 'readiness to give attention'
'still peabody kidder lynch', 'becoming market makers', 'RB NP NP NP', 'VBG NN NNS', 'readiness to give attention'
'risky basket stock criticizing', 'public', 'JJ NN NN VBG', 'NN', 'advantage, advancement or favor'
'voting % 25 owning', 'uXsX airlines say carriers', 'NN NN AB VBG', 'NP NNS VBP NNS', 'a share in a company or business'
'hold help investments deficits', 'rates', 'VB VBP NNS NNS', 'NNS', 'money paid for the use of money'
'strategic security national problem', 'uXsX trade representative carla', 'JJ NN JJ NN', 'NP NP NP NP', 'advantage, advancement or favor'
'stepping dutch', 'uXsX airlines already control', 'VBG NPS', 'NP NNS RB VBP', 'a share in a company or business'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'public violate levels debt', '', 'JJ VBP NNS NN', '', 'advantage, advancement or favor'
'', '1 point three-month vienna', '', 'AB NN JJ NP', 'money paid for the use of money'
'', 'rates generally declining since', '', 'NNS RB VBG IN', 'money paid for the use of money'
'', 'rates continue downward yields', '', 'NNS VB RB NNS', 'money paid for the use of money'
'special taken bush mrsX', 'one issue', 'JJ VBN NP NP', 'AB NN', 'readiness to give attention'
'personal combines issue literacy', 'sense political savvy', 'JJ VBZ NN NN', 'NN JJ NN', 'readiness to give attention'
'always dyslexia struggled son', 'education', 'RB NN VBD NN', 'NN', 'readiness to give attention'
'reduce pressure international domestic', 'rates bring dollar causing', 'VB NN JJ JJ', 'NNS VB NN VBG', 'money paid for the use of money'
'lower bank central lead', 'rates coming weeks', 'JJR NN JJ VB', 'NNS VBG NNS', 'money paid for the use of money'
'sets fed', 'rate policy much larger', 'VBZ NP', 'NN NN RB JJR', 'money paid for the use of money'
'lower', 'rates reduce upward pressure', 'JJR', 'NNS VBP JJ NN', 'money paid for the use of money'
'raising dollar pressure upward', 'rates last week', 'VBG NN NN JJ', 'NNS JJ NN', 'money paid for the use of money'
'lowering advocate consistent johnson', 'rates help domestic economy', 'VBG NN JJ NP', 'NNS VB JJ NN', 'money paid for the use of money'
'lower toward lean unchanged', 'rates economic conditions warranted', 'JJR IN VB JJ', 'NNS JJ NNS VBD', 'money paid for the use of money'
'expressed individuals companies several', 'purchasing principal assets company', 'VBN NNS NNS JJ', 'VBG JJ NNS NN', 'readiness to give attention'
'drop one-percentage-point average industrial', 'rates - good times', 'NN JJ NP NP', 'NNS ? JJ NNS', 'money paid for the use of money'
'best fees pursuit placed', 'clients', 'JJS NNS NN VBN', 'NNS', 'advantage, advancement or favor'
'cut reserve federal force', 'rates coming weeks analysts', 'VB NP NP VB', 'NNS VBG NNS NNS', 'money paid for the use of money'
'long-term think less years', 'rates nXt fall much', 'JJ VBP JJR NNS', 'NNS RB VB RB', 'money paid for the use of money'
'drive fed expects', 'rate federal funds overnight', 'VB NP VBZ', 'NN JJ NNS JJ', 'money paid for the use of money'
'odds increases certainly', 'rates move lower soon', 'NNS VBZ RB', 'NNS VB RBR RB', 'money paid for the use of money'
'', 'rates tumbled news september', '', 'NNS VBD NN NP', 'money paid for the use of money'
'short-term', 'rates fell especially sharply', 'JJ', 'NNS VBD RB RB', 'money paid for the use of money'
'drum country around executives', 'shares', 'VB NN IN NNS', 'NNS', 'readiness to give attention'
'european rise sharp', 'rates last week increases', 'JJ NN JJ', 'NNS JJ NN NNS', 'money paid for the use of money'
'real high strain materials', 'rates leave consumers little', 'JJ JJ NN NNS', 'NNS VBP NNS JJ', 'money paid for the use of money'
'usual warehouses stocks copper', '', 'JJ NNS NNS NN', '', 'readiness to give attention'
'', 'stocks nXt fully restored', '', 'NNS RB RB VBN', 'readiness to give attention'
'looking instead', 'rates inflation earnings projections', 'VBG RB', 'NNS NN NN NNS', 'money paid for the use of money'
'lower prospects optimism activity', 'rates helped push jones', 'JJR NNS NN NP', 'NNS VBD VB NP', 'money paid for the use of money'
'lower step another take', 'rates', 'VB NN DT VB', 'NNS', 'money paid for the use of money'
'may shares accumulating may', 'buying company Xs west', 'MD NNS VBG MD', 'VBG NN POS NP', 'readiness to give attention'
'cut pressure resisting fed', 'rates though analysts say', 'VB NN VBG NP', 'NNS IN NNS VBP', 'money paid for the use of money'
'pay borrowing effectively term', 'dividends', 'VB VBG RB NN', 'NNS', 'money paid for the use of money'
'annual along million 180', '$ 120 million', 'JJ IN AB AB', 'NN AB AB', 'money paid for the use of money'
'loses partnership fall stock', '', 'VBZ NN VB NN', '', 'readiness to give attention'
'higher fear said analysts', 'rates prompted investors sell', 'JJR NN VBD NNS', 'NNS VBD NNS VB', 'money paid for the use of money'
'buying surge', 'jaguar saatchi AND saatchi', 'VBG NN', 'NP NP CC NP', 'readiness to give attention'
'rise said players', 'rates though undesirable help', 'NN VBD NNS', 'NNS IN JJ VB', 'money paid for the use of money'
'high going lawson nigel', 'rate medicine well make', 'JJ VBG NP NP', 'NN NN RB VB', 'money paid for the use of money'
'beneficial % 24 perception', 'french luxury goods maker', 'JJ NN AB NN', 'JJ NN NNS NN', 'a share in a company or business'
'uXsX reduction gradual survive', 'rates', 'NP NN JJ VB', 'NNS', 'money paid for the use of money'
'rising eroded values portfolio', 'rates', 'VBG VBN NNS NN', 'NNS', 'money paid for the use of money'
'plus change price -', 'income - *interest checks', 'CC NN NN ?', 'NN ? NN NNS', 'money paid for the use of money'
'', 'payments included losses narrowed', '', 'NNS VBN NNS VBD', 'money paid for the use of money'
'rising', 'rates meanwhile battered government', 'VBG', 'NNS RB VBN NN', 'money paid for the use of money'
'fall funds bond government', 'rates rise', 'VBP NNS NN NN', 'NNS VB', 'money paid for the use of money'
'pay nXt discount deep', 'mature', 'VB RB NN JJ', 'VBP', 'money paid for the use of money'
'', 'rates rising bit quarter', '', 'NNS VBG NN NN', 'money paid for the use of money'
'lower accompanied economy softening', 'rates', 'JJR VBN NN NN', 'NNS', 'money paid for the use of money'
'course backfire', 'rates rise instead', 'NN VB', 'NNS VBP RB', 'money paid for the use of money'
'national function civilians train', 'case war apparently assumption', 'JJ VB NNS VB', 'NN NN RB NN', 'advantage, advancement or favor'
'high levels debt personal', 'rates durable-goods sales likely', 'JJ NNS NN JJ', 'NNS NNS NNS JJ', 'money paid for the use of money'
'strong attributed company dallas', 'women Xs sportswear back-to-school', 'JJ VBD NN NP', 'NNS POS NN JJ', 'readiness to give attention'
'non-steel', 'currently contribute 3X5 billion', 'JJ', 'RB VBP AB AB', 'a share in a company or business'
'high Xs britain despite', 'rates', 'JJ POS NP IN', 'NNS', 'money paid for the use of money'
'', 'acquiring bX altman AND', '', 'VBG NP NP CC', 'readiness to give attention'
'majority Xs hooker lXjX', 'specialty chain', 'NN POS NP NP', 'NN NN', 'a share in a company or business'
'majority sold already hooker', 'parisian incX southern department', 'NN VBN RB NP', 'NP NP JJ NN', 'a share in a company or business'
'make failed filing bankruptcy', 'payments june nearly $', 'VB VBN NN NN', 'NNS NP RB NN', 'money paid for the use of money'
'average million 53 $', 'rate 9X3 % leaving', 'JJ AB AB NN', 'NN AB NN VBG', 'money paid for the use of money'
'% 10 sold said', 'production-sharing contract indonesia repsol', 'NN AB VBD VBD', 'NN NN NP NP', 'a share in a company or business'
'lowered sale said concern', 'contract 24X3 % 34X3', 'VBD NN VBD NN', 'NN AB NN AB', 'a share in a company or business'
'Xs repsol increasing %', '12X45 %', 'POS NP VBG NN', 'AB NN', 'a share in a company or business'
'sizable retain allows sale', 'northwest java contract area', 'JJ VB VBZ NN', 'NP NP NN NN', 'a share in a company or business'
'public case whatever', 'herbal medicine rising', 'JJ NN WDT', 'JJ NN VBG', 'readiness to give attention'
'best X clients keep', 'priority actively live exemplary', 'JJS POS NNS VBP', 'NN RB VB JJ', 'advantage, advancement or favor'
'higher cited market loan', 'rates junk bonds one', 'JJR VBD NN NN', 'NNS NN NNS AB', 'money paid for the use of money'
'sent bonds corporate high-yield', 'rates issues climbing new', 'VBN NNS JJ JJ', 'NNS NNS VBG JJ', 'money paid for the use of money'
'corporate higher profits after-tax', 'payments moderating spending consumers', 'JJ JJR NNS JJ', 'NNS VBG NN NNS', 'money paid for the use of money'
'short-term ease reserve federal', 'rates soon giving stocks', 'JJ VB NP NP', 'NNS RB VBG NNS', 'money paid for the use of money'
'pushing announced bundesbank Xs', 'rates full percentage point', 'VBG VBD NP POS', 'NNS JJ NN NN', 'money paid for the use of money'
'withhold influence political using', 'payments state bank', 'VB NN JJ VBG', 'NNS NN NN', 'money paid for the use of money'
'protected maintaining goal mutual', '', 'JJ VBG NN JJ', '', 'advantage, advancement or favor'
'expects said also', 'rates drop usually works', 'VBZ VBD RB', 'NNS VB RB VBZ', 'money paid for the use of money'
'drop activity attributed', 'rates', 'NN NN VBD', 'NNS', 'money paid for the use of money'
'', 'bonds due 2022 series', '', 'NNS JJ AB NN', 'money paid for the use of money'
'minority sizable bought recently', 'telemunchen west german production', 'NN JJ VBD RB', 'NP JJ JJ NN', 'a share in a company or business'
'', 'uniformity large part likely', '', 'NN JJ NN JJ', 'advantage, advancement or favor'
'high market clogged houses', 'rates', 'JJ NN VBD NNS', 'NNS', 'money paid for the use of money'
'deep developed kansan native', 'eastern europe soviet union', 'JJ VBD NP JJ', 'NP NP NP NP', 'readiness to give attention'
'long despite', 'soviet union mrX gates', 'JJ IN', 'NP NP NP NP', 'readiness to give attention'
'debt cuts mexico offer', 'payments', 'NN NNS NP VB', 'NNS', 'money paid for the use of money'
'debt cutting option banks', 'payments providing new loans', 'NN VBG NN NNS', 'NNS VBG JJ NNS', 'money paid for the use of money'
'expressed nXt stations said', 'moving prime time', 'VBN RB NNS VBD', 'VBG JJ NN', 'readiness to give attention'
'debt remainder', '', 'NN NN', '', 'money paid for the use of money'
'parochial laced service research', '', 'JJ VBN NP NP', '', 'advantage, advancement or favor'
'accrued plus par exceeding', 'purchase date', 'VBN CC NN VBG', 'NN NN', 'money paid for the use of money'
'annual cash Xs harcourt', 'bill $ 155 million', 'JJ NN POS NP', 'NN NN AB AB', 'money paid for the use of money'
'include nXt figures', '$ 600 million zero-coupon', 'VB RB NNS', 'NN AB AB NN', 'money paid for the use of money'
'cash paying start harcourt', 'several years', 'NN VBG VB NP', 'JJ NNS', 'money paid for the use of money'
'meeting problem hbj sale', 'principal payments', 'VBG NN NP NN', 'JJ NNS', 'money paid for the use of money'
'expressed Xs democrat', 'mrX janson says pharmacist', 'VBN VBZ NP', 'NP NP VBZ NN', 'readiness to give attention'
'Xs trump mrX news', 'amr rumored weeks sparked', 'POS NP NP NN', 'NP VBN NNS VBD', 'readiness to give attention'
'round effects uncertainty partly', 'rate increases west germany', 'NN NNS NN RB', 'NN NNS NP NP', 'money paid for the use of money'
'', 'takeover stocks boosted hilton', '', 'NN NNS VBD NP', 'readiness to give attention'
'takeover denied rosewood statements', 'saying merely wants influence', 'NN VBN NP NNS', 'VBG RB VBZ NN', 'readiness to give attention'
'foreign rise sharp despite', 'rates', 'JJ NN JJ IN', 'NNS', 'money paid for the use of money'
'rise signaled bank central', 'rates causing barclays bank', 'NN VBD NN JJ', 'NNS VBG NP NP', 'money paid for the use of money'
'', 'rates said mickey levy', '', 'NNS VBD NP NP', 'money paid for the use of money'
'investor broad attracted offering', 'quickly snapped', 'NN JJ VBD NN', 'RB VBN', 'readiness to give attention'
'raised bundesbank lower modestly', 'rates', 'VBD NP JJR RB', 'NNS', 'money paid for the use of money'
'sharply fall nXt bonds', 'rate hikes widely expected', 'RB VB RB NNS', 'NN NNS RB VBN', 'money paid for the use of money'
'open', 'figures released coffee sugar', 'JJ', 'NNS VBN NP NP', 'a share in a company or business'
'open', 'number contracts either nullified', 'JJ', 'NN NNS RB VBN', 'a share in a company or business'
'equity acquire agreed ibm', 'geographic systems green bay', 'NN VB VBD NP', 'NP NP NP NP', 'a share in a company or business'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'despite strengthened dollar', 'rate increases europe continued', 'IN VBD NN', 'NN NNS NP JJ', 'money paid for the use of money'
'raise bundesbank expecting everybody', 'rates full point surprise', 'VB NP VBG NN', 'NNS JJ NN NN', 'money paid for the use of money'
'market let willing bank', 'rates edge higher contend', 'NN VB JJ NN', 'NNS VB RBR VBP', 'money paid for the use of money'
'uXsX high relatively still', 'rates compared germany japan', 'NP JJ RB RB', 'NNS VBN NP NP', 'money paid for the use of money'
'% 60 purchase Xs', 'cit group holdings incX', 'NN AB NN POS', 'NP NP NP NP', 'a share in a company or business'
'fees Xs attorney include', 'costs', 'NNS POS NN VB', 'NNS', 'money paid for the use of money'
'share community 12-nation opec', 'stability avoiding oil-price surges', 'VBP NN JJ NP', 'NN VBG JJ NNS', 'readiness to give attention'
'tokyo', 'rate worries muted stocks', 'NP', 'NN NNS JJ NNS', 'money paid for the use of money'
'high harmed profits corporate', 'rates', 'JJ VBN NNS JJ', 'NNS', 'money paid for the use of money'
'higher making go nXt', 'rates nXt going seriously', 'JJR VBG VB RB', 'NNS RB VBG RB', 'money paid for the use of money'
'german west expectations fluctuations', 'rate increase encouraged investors', 'JJ JJ NNS NNS', 'NN NN VBD NNS', 'money paid for the use of money'
'buying attracted refiners sugar', 'local news report pointed', 'NN VBD NNS NN', 'JJ NN NN VBD', 'readiness to give attention'
'minority payments % 16', '1X37 billion francs', 'NN NNS NN AB', 'AB AB NNS', 'a share in a company or business'
'pressure', 'rates stiff competition held', 'NN', 'NNS JJ NN VBD', 'money paid for the use of money'
'minority taxes profit', 'special items rose 36', 'NN NNS NN', 'JJ NNS VBD AB', 'a share in a company or business'
'official raised bundesbank german', 'rates full percentage point', 'JJ VBD NP JJ', 'NNS JJ NN NN', 'money paid for the use of money'
'benchmark Xs germany west', 'rates highest level since', 'JJ POS NP NP', 'NNS JJS NN IN', 'money paid for the use of money'
'Xs columbia swapping sony', 'burbank studio old metro-goldwyn-mayer', 'POS NP VBG NP', 'NP NN JJ NP', 'a share in a company or business'
'million 50 $ revenue', 'films batman rainman gorillas', 'AB AB NN NN', 'NNS NP NP NNS', 'a share in a company or business'
'million 200 $ exceed', 'depreciation taxes', 'AB AB NN VBP', 'NN NNS', 'money paid for the use of money'
'profits', 'taxes depcreciation generally referred', 'NNS', 'NNS NN RB VBN', 'money paid for the use of money'
'certain deductibility tax eliminate', 'payments original-issue discounts debt', 'JJ NN NN VB', 'NNS JJ NNS NN', 'money paid for the use of money'
'accrued plus amount principal', '$ 20 per $', 'JJ CC NN JJ', 'NN AB IN NN', 'money paid for the use of money'
'public industry airline debt', '', 'JJ NN NN NN', '', 'advantage, advancement or favor'
'public blow real Xs', '', 'JJ NN JJ VBZ', '', 'advantage, advancement or favor'
'earnings times six namely', 'taxes depreciation', 'NNS NNS AB RB', 'NNS NN', 'money paid for the use of money'
'nXt vilification rejection immediate', 'shareholders noting amr nXt', 'RB NN NN JJ', 'NNS VBG NP RB', 'advantage, advancement or favor'
'public industry airline debt', '', 'JJ NN NN NN', '', 'advantage, advancement or favor'
'defaulted company', 'payments sept', 'VBD NN', 'NNS NP', 'money paid for the use of money'
'british increase another push', 'rates - 11th since', 'JJ NN DT VB', 'NNS ? JJ IN', 'money paid for the use of money'
'key boost bundesbank german', 'rates', 'JJ VB NP JJ', 'NNS', 'money paid for the use of money'
'left got Xs thing', 'rates said shearson lehman', 'JJ VBN POS NN', 'NNS VBD NP NP', 'money paid for the use of money'
'raising problem attacked lawson', 'rates consumers buy fewer', 'VBG NN VBN NP', 'NNS NNS VBP JJR', 'money paid for the use of money'
'ratcheting continuous peril', 'rates produce punishing downturn', 'VBG JJ NN', 'NNS VB JJ NN', 'money paid for the use of money'
'emotional substantial clients distress', 'stake', 'JJ JJ NNS NN', 'NN', 'readiness to give attention'
'', 'rates credit prohibitive often', '', 'NNS NN JJ RB', 'money paid for the use of money'
'principal payments gold limited', 'required gold bonds', 'NN NNS JJ VBN', 'VBN JJ NNS', 'money paid for the use of money'
'principal pay promise carry', 'gold', 'NN VB NN VBP', 'NN', 'money paid for the use of money'
'possible lowest credit seeking', 'rate', 'JJ JJS NN VBG', 'NN', 'money paid for the use of money'
'governmental lowest % 3', 'rate earth including japan', 'JJ JJS NN AB', 'NN NN VBG NP', 'money paid for the use of money'
'bonds gold-backed soviet experience', 'bonds expected decline perhaps', 'NNS JJ JJ NN', 'NNS VBN VB RB', 'money paid for the use of money'
'', 'rate soviet bonds gosbank', '', 'NN JJ NNS NP', 'money paid for the use of money'
'expected % 10 currently', 'rate initially around 18', 'VBN NN AB RB', 'NN RB IN AB', 'money paid for the use of money'
'higher proportionally take higher', 'rates stabilize rate inflation', 'JJR RB VB JJR', 'NNS VB NN NN', 'money paid for the use of money'
'expected longer lot dragged', 'payment coming decX 15', 'VBN RBR NN VBN', 'NN VBG NP AB', 'money paid for the use of money'
'lower paid lenders fees', 'rate order save money', 'JJR VBN NNS NNS', 'NN NN VB NN', 'money paid for the use of money'
'bonus insurance deposit federal', 'rates good first three', 'NN NN NN JJ', 'NNS JJ JJ AB', 'money paid for the use of money'
